IDENT_MEN;VAG;NUMORDREABO;NB_ABONN;TYP_ABONN01;TYP_ABONN02;TYP_ABONN03;TYP_ABONN04;TYP_ABONN05;TYP_ABONN06;TYP_ABONN07;TYP_ABONN08;TYP_ABONN09;TYP_ABONN10;Nataudio;Proaudio;Msabonn;Msfacture;Msfactper;Abofixe;Cartemobile;Mcartemobile;Percartemobile;MSFACTPER_D;MSFACTURE_D;MCARTEMOBILE_D;PERCARTEMOBILE_D;MIMPUTINTERNET_D
00064;6;4;4;0;1;0;0;0;0;0;0;0;0;;3;10;10;1;;2;;;12;10;;;
00065;4;1;1;1;0;1;0;0;0;0;0;0;0;;;100;100;1;;;;;12;100;;;
00066;2;1;2;1;0;1;1;0;0;0;0;0;0;;;35;35;1;;2;;;12;34;;;
00066;2;2;2;0;1;0;0;0;0;0;0;0;0;;2;20;20;1;;2;;;12;20;;;
00067;2;1;1;1;1;0;1;0;0;0;0;0;0;;1;999999;999999;;;2;;;12;39;;;
00068;3;1;1;1;1;1;1;0;1;0;0;0;0;;1;39;43;1;;2;;;12;43;;;
00069;3;1;2;1;0;0;1;0;0;0;0;0;0;;;44;44;1;;2;;;12;44;;;
00069;3;2;2;0;1;0;0;0;0;0;0;0;0;;1;87;87;1;;2;;;12;87;;;
00070;3;1;2;0;0;0;0;0;1;0;0;0;0;;1;60;60;1;;1;50;2M;12;60;50;6;
00070;3;2;2;0;1;0;0;0;0;0;0;0;0;;2;40;40;1;;1;50;2M;12;40;50;6;
00071;4;1;3;1;0;0;0;0;0;0;0;0;0;;;69;69;1;;2;;;12;69;;;
00071;4;2;3;0;1;0;0;0;0;0;0;0;0;;1;31;31;1;;2;;;12;31;;;
00071;4;3;3;0;1;0;0;0;0;0;0;0;0;;2;22;22;1;;2;;;12;22;;;
00072;3;;;;;;;;;;;;;;;;;;;;;;;;;;547
00072;3;1;1;1;1;0;1;0;0;0;0;0;0;;1;37;0;1;;2;;;;;;;
00073;3;1;1;1;1;1;1;0;1;0;0;0;0;;1;100;100;1;;2;;;12;100;;;
00074;3;1;1;1;1;0;1;0;1;0;0;0;0;;1;78;78;1;;2;;;12;79;;;
00076;1;1;5;0;0;0;1;0;0;0;0;0;0;;;60;60;1;1;2;;;12;60;;;
00076;1;2;5;0;1;0;0;0;0;0;0;0;0;;1;30;30;1;1;2;;;12;30;;;
00076;1;3;5;0;1;0;0;0;0;0;0;0;0;;2;30;30;1;1;2;;;12;30;;;
00076;1;4;5;0;0;1;0;0;0;0;0;0;0;;;71;71;1;1;2;;;12;71;;;
00076;1;5;5;0;1;0;0;0;0;0;0;0;0;;3;60;60;1;1;2;;;12;60;;;
00077;3;1;1;1;1;1;0;0;0;0;0;0;0;;1;40;40;1;;2;;;12;40;;;
00078;5;;;;;;;;;;;;;;;;;;;;;;;;;;135
00078;5;1;1;1;0;0;0;0;0;0;0;0;0;;;999999;999999;;;1;5;4J;12;36;5;48;
00079;1;1;3;1;0;0;1;0;0;0;0;0;0;;;30;30;1;;2;;;12;30;;;
00079;1;2;3;0;1;0;0;0;0;0;0;0;0;;1;20;20;11;;2;;;12;20;;;
00079;1;3;3;0;1;0;0;0;0;0;0;0;0;;2;8;8;1;;2;;;12;8;;;
00080;6;1;2;1;1;0;1;0;0;0;0;0;0;;1;70;70;1;;2;;;12;69;;;
00080;6;2;2;0;1;0;0;0;0;0;0;0;0;;2;35;35;1;;2;;;12;35;;;
00081;3;1;1;1;0;0;0;0;0;0;0;0;0;;;39;39;1;;1;10;1M;12;39;10;12;
00082;3;1;1;1;1;1;0;0;0;1;0;0;0;;1;89;89;1;;2;;;12;89;;;
00083;3;1;2;1;0;1;1;0;0;0;0;0;0;;;50;50;1;;2;;;12;49;;;
00083;3;2;2;0;1;0;0;0;0;0;0;0;0;;1;60;60;1;;2;;;12;60;;;
00084;2;1;2;0;1;0;0;0;0;0;0;0;0;;1;150;150;1;;2;;;12;150;;;
00084;2;2;2;1;0;1;0;0;0;0;0;0;0;;;61;61;1;;2;;;12;61;;;
00085;1;1;2;0;1;1;0;0;0;0;0;0;0;;1;37;37;1;1;2;;;12;37;;;
00085;1;2;2;0;1;0;0;0;0;0;0;0;0;;1;30;30;1;1;2;;;12;30;;;
00086;1;1;3;1;0;0;0;0;0;0;0;0;0;;;30;30;1;;2;;;12;30;;;
00086;1;2;3;0;0;1;0;0;0;0;0;0;0;;;75;75;1;;2;;;12;75;;;
00086;1;3;3;0;1;0;1;0;0;0;0;0;0;;1;30;30;1;;2;;;12;30;;;
00087;6;1;3;1;0;0;0;0;0;0;0;0;0;;;32;35;1;;2;;;12;35;;;
00087;6;2;3;0;1;0;1;0;1;0;0;0;0;;2;45;45;1;;2;;;12;44;;;
00087;6;3;3;0;1;0;0;0;1;0;0;0;0;;1;15;15;1;;2;;;12;15;;;
00088;5;1;2;1;1;1;1;0;0;0;0;0;0;;2;32;32;1;;1;5;1M;12;31;5;12;
00088;5;2;2;0;1;0;0;0;0;1;0;0;0;;1;20;20;1;;1;5;1M;12;20;5;12;
00089;3;1;1;0;0;1;0;0;0;0;0;0;0;;;86;86;1;;1;80;1M;12;86;80;12;
00090;1;1;2;0;1;0;0;0;0;0;0;0;0;;1;5;5;1;;2;;;12;5;;;
00090;1;2;2;1;0;1;1;0;0;0;0;0;0;;;39;39;1;;2;;;12;40;;;
00091;3;1;4;0;1;0;0;0;0;0;0;0;0;;1;35;35;1;;2;;;12;35;;;
00091;3;2;4;0;1;0;0;0;1;0;0;0;0;;2;23;23;1;;2;;;12;23;;;
00091;3;3;4;0;0;1;0;0;0;0;0;0;0;;;39;39;1;;2;;;12;39;;;
00091;3;4;4;1;0;0;1;0;0;0;0;0;0;;;49;49;1;;2;;;12;49;;;
00092;3;1;1;1;1;1;1;0;0;0;0;0;0;;1;50;50;1;;1;20;1M;12;51;20;12;
00093;5;1;3;1;0;1;1;0;0;0;0;0;0;;;40;40;1;;2;;;12;40;;;
00093;5;2;3;0;1;0;0;0;0;0;0;0;0;;2;2;2;1;;2;;;12;2;;;
00093;5;3;3;0;1;0;0;0;0;0;0;0;0;;2;200;200;1;;2;;;12;200;;;
00094;2;1;1;1;1;1;1;0;1;0;0;0;0;;1;45;48;1;;2;;;12;47;;;
00095;2;;;;;;;;;;;;;;;;;;;;;;;;;;161
00096;5;1;1;1;1;1;1;0;0;0;0;0;0;;1;60;60;1;;2;;;12;60;;;
00097;5;1;3;1;0;1;1;0;0;0;0;0;0;;;59;59;1;;2;;;12;59;;;
00097;5;2;3;0;1;0;0;0;1;0;0;0;0;;1;32;38;1;;2;;;12;38;;;
00097;5;3;3;0;1;0;0;0;1;0;0;0;0;;2;29;29;1;;2;;;12;29;;;
00098;2;1;2;0;0;0;1;0;0;0;0;0;0;;;59;59;1;;2;;;12;59;;;
00098;2;2;2;0;1;0;0;0;0;0;0;0;0;;1;100;100;1;;2;;;12;100;;;
00100;4;1;3;1;0;0;1;0;0;0;0;0;0;;;10;10;1;;2;;;12;10;;;
00100;4;2;3;0;1;0;0;0;1;0;0;0;0;;1;2;2;1;;2;;;12;2;;;
00100;4;3;3;0;1;0;0;0;1;0;0;0;0;;2;25;25;1;;2;;;12;25;;;
00101;5;1;1;1;1;1;1;0;1;0;0;0;0;;1;80;80;1;;2;;;12;80;;;
00102;2;1;5;0;1;0;0;0;0;0;0;0;0;;1;59;59;1;;2;;;12;59;;;
00102;2;2;5;1;0;0;0;0;0;0;0;0;0;;;15;15;1;;2;;;12;15;;;
00102;2;3;5;0;0;0;1;0;0;0;0;0;0;;;39;39;1;;2;;;12;39;;;
00102;2;4;5;0;1;0;0;0;0;0;0;0;0;;2;40;40;1;;2;;;12;40;;;
00102;2;5;5;0;0;1;0;0;0;0;0;0;0;;;60;60;1;;2;;;12;60;;;
00103;1;1;1;0;1;0;0;0;1;0;0;0;0;;1;25;30;1;;2;;;12;30;;;
00104;6;1;1;0;1;1;0;0;1;0;0;0;0;;1;30;30;1;;2;;;12;30;;;
00105;6;1;1;1;0;1;1;0;0;0;0;0;0;;;41;41;1;;;;;12;41;;;
00106;2;;;;;;;;;;;;;;;;;;;;;;;;;;117
00106;2;1;3;0;0;1;0;0;0;0;0;0;0;;;37;37;1;;2;;;12;37;;;
00106;2;2;3;0;1;0;0;0;0;0;0;0;0;;1;15;15;1;;2;;;12;15;;;
00106;2;3;3;0;1;0;0;0;0;0;0;0;0;;2;4;4;1;;2;;;12;4;;;
00107;5;1;2;0;0;1;1;0;0;0;0;0;0;;;22;22;1;;2;;;12;22;;;
00107;5;2;2;0;1;0;0;0;1;0;0;0;0;;1;35;35;1;;2;;;12;35;;;
00108;1;1;1;1;0;0;0;0;0;0;0;0;0;;;60;60;1;;;;;12;60;;;
00109;5;1;1;1;0;1;0;0;0;0;0;0;0;;;40;57;1;;1;15;1S;12;57;15;48;
00110;6;1;1;0;1;0;0;0;0;0;0;0;0;;1;20;24;1;;2;;;12;24;;;
00111;5;1;2;1;0;0;1;0;0;0;0;0;0;;;60;60;1;;1;15;2M;12;60;15;6;
00111;5;2;2;0;0;1;0;0;0;0;0;0;0;;;35;35;1;;1;15;2M;12;35;15;6;
00113;3;1;1;1;0;1;1;0;0;0;0;0;0;;;2;2;1;;2;;;12;3;;;
00114;6;1;1;1;1;1;1;0;1;0;0;0;0;;1;57;57;1;;2;;;12;57;;;
00115;1;1;3;0;1;0;0;0;0;0;0;0;0;;2;15;15;1;;2;;;12;15;;;
00115;1;2;3;0;1;0;0;0;0;0;0;0;0;;1;15;15;1;;2;;;12;15;;;
