IDENT_MEN;vag;BCCOD;BCNACHAT;BCLIEU01;BCLIEU02;BCLIEU03;BCLIEU04;BCLIEU05;BCLIEU06;BCLIEU07;BCLIEU08;BCLIEU09;BCLIEU10;BCPRIX;BCLIEU00;BCPRIX_D
00422;1;3;3;0;0;0;0;0;0;0;1;0;0;25;;25
00423;2;3;6;0;0;0;0;0;0;0;1;0;0;40;;40
00429;5;2;99;0;0;0;0;0;0;0;0;0;0;999999;;5
00429;5;9;1;0;0;0;0;0;0;0;1;0;0;50;;50
00431;6;2;99;0;0;0;0;0;0;0;0;0;0;999999;;13
00431;6;4;99;0;0;0;0;0;0;0;0;0;0;999999;;30
00431;6;5;10;0;0;0;0;0;0;1;0;0;0;100;;100
00431;6;9;4;0;0;1;0;0;0;0;0;0;0;100;;100
00449;4;3;5;0;0;0;0;0;0;0;1;0;0;25;;25
00449;4;9;1;0;0;1;0;0;0;0;0;0;0;20;;20
00452;2;1;3;0;0;1;0;0;0;0;0;0;1;30;;30
00456;1;7;1;0;0;0;1;0;0;0;0;0;0;55;;55
00456;1;9;10;0;0;0;1;0;0;0;0;0;1;60;;60
00461;2;7;4;0;0;0;0;0;0;1;0;0;0;230;;230
00461;2;7;4;0;0;0;0;0;0;1;0;0;0;230;;30
00475;5;2;1;0;0;0;0;0;0;0;0;0;0;999999;;18
00475;5;4;99;0;0;0;0;0;0;0;0;0;0;999999;;150
00485;2;1;1;0;0;0;0;0;0;1;0;0;0;14;;14
00485;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00499;3;1;3;0;0;0;0;0;0;1;0;0;0;45;;45
00499;3;3;1;0;0;0;0;0;0;1;0;0;0;15;;15
00501;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00501;2;5;1;0;0;0;1;0;0;0;0;0;0;18;;18
00523;5;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00537;1;7;1;0;0;0;0;0;0;0;1;0;0;70;;70
00540;3;3;1;0;0;0;0;0;0;1;0;0;0;24;;24
00542;2;1;2;0;0;0;0;0;0;1;0;0;0;40;;40
00542;2;3;8;0;0;0;0;0;0;1;0;0;0;50;;50
00542;2;7;99;0;0;0;0;0;0;0;0;0;0;999999;;50
00548;3;3;5;0;0;1;1;0;0;0;0;0;0;100;;100
00549;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;42
00549;2;9;2;0;0;0;1;0;0;0;0;0;0;50;;50
00553;2;9;2;0;0;0;0;0;0;1;0;0;0;20;;20
00558;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;10
00558;4;5;3;0;0;0;1;0;0;0;0;0;0;45;;45
00558;4;9;2;0;0;0;0;0;0;0;1;0;0;8;;8
00559;6;3;2;0;0;0;0;0;0;1;0;0;0;40;;40
00563;2;3;1;0;0;0;0;0;0;0;1;0;0;25;;25
00565;3;3;10;0;0;1;0;0;0;0;0;0;0;50;;50
00565;3;9;5;0;0;0;1;0;0;0;0;0;0;100;;100
00572;4;3;1;0;0;0;0;1;0;0;0;0;0;3;;3
00574;3;3;6;0;0;0;1;0;0;0;0;0;0;13;;13
00574;3;9;4;0;0;0;1;0;0;1;0;0;0;200;;200
00577;2;3;5;0;0;0;0;0;0;1;0;0;0;80;;80
00577;2;7;1;0;0;0;0;0;0;1;0;0;0;21;;21
00580;4;3;1;0;1;0;0;0;0;0;0;0;0;6;;6
00584;1;3;1;0;0;0;0;0;0;0;1;0;0;6;0;6
00586;5;1;4;0;0;0;1;0;0;0;0;0;0;40;;40
00591;3;1;2;0;0;0;1;0;0;0;0;0;0;42;;42
00591;3;3;1;0;0;0;1;0;0;0;0;0;0;20;;20
00595;3;1;1;0;0;0;1;0;0;0;0;0;0;18;;18
00595;3;3;20;0;1;1;1;0;0;1;0;0;0;260;;260
00595;3;9;3;0;0;0;0;0;0;1;0;0;0;80;;80
00597;6;1;7;0;0;0;0;0;0;1;0;0;0;60;;60
00597;6;4;99;0;0;0;0;0;0;0;0;0;0;999999;;26
00603;4;9;2;0;0;0;1;0;0;0;0;0;0;7;;7
00613;2;4;25;0;0;0;0;0;0;0;0;0;0;999999;;10
00613;2;4;25;0;0;0;0;0;0;0;0;0;0;999999;;13
00614;3;1;4;0;0;0;0;0;0;0;0;1;0;20;;20
00614;3;2;99;0;0;0;0;0;0;0;0;0;0;999999;;5
00614;3;4;99;0;0;0;0;0;0;0;0;0;0;999999;;40
00615;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;4
00615;2;7;1;0;0;0;0;0;0;0;0;0;1;7;;7
00620;5;5;2;0;0;0;0;0;0;1;0;0;0;30;;30
00623;1;3;10;0;0;0;0;0;0;0;1;0;0;100;;100
00627;6;2;99;0;0;0;0;0;0;0;0;0;0;999999;;15
00631;4;3;1;0;0;0;1;0;0;0;0;0;0;24;;24
00632;4;1;1;0;0;0;1;0;0;0;0;0;0;15;;15
00632;4;2;1;0;0;0;0;0;0;0;0;0;0;20;;20
00632;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;16
00634;5;3;2;0;0;0;1;0;0;1;0;0;0;10;;10
00634;5;5;10;0;0;0;1;0;0;0;0;0;0;50;;50
00634;5;7;1;0;0;0;1;0;0;0;0;0;0;30;;30
00636;3;3;2;0;0;1;0;0;0;0;0;0;0;6;;6
00636;3;5;2;0;0;1;0;0;0;0;0;0;0;5;;5
00642;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;30
00646;6;3;1;0;0;0;0;0;0;1;0;0;0;20;;20
00654;6;3;10;0;0;0;1;0;0;1;1;0;0;180;;180
00659;4;3;2;0;0;0;1;0;0;0;1;0;0;20;;20
00660;4;3;3;0;0;0;1;0;0;0;1;0;0;21;;21
00660;4;9;1;0;0;1;0;0;0;0;0;0;0;49;;49
00663;4;3;2;0;0;0;0;0;0;1;0;0;0;45;;45
00667;4;3;4;0;0;0;0;0;0;0;1;0;0;50;;50
00670;1;3;2;0;0;0;0;0;0;0;0;1;0;20;;20
00671;3;3;1;0;0;0;1;0;0;0;0;0;0;13;;13
00673;3;1;1;0;0;0;0;0;0;1;0;0;0;15;;15
00673;3;2;99;0;0;0;0;0;0;0;0;0;0;999999;;5
00673;3;4;99;0;0;0;0;0;0;0;0;0;0;999999;;150
00673;3;9;3;0;0;0;0;0;0;1;0;0;0;999999;;30
00674;1;1;8;0;0;0;0;0;0;1;0;0;0;100;;100
00674;1;4;99;0;0;0;0;0;0;0;0;0;0;999999;;71
00680;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;27
00682;2;4;99;0;0;0;0;0;0;0;0;0;0;999999;;22
00688;5;1;2;0;0;0;0;0;0;1;0;0;0;21;;21
00688;5;3;2;0;0;0;0;0;0;1;0;0;0;30;;30
00688;5;5;4;0;0;0;0;0;0;1;0;0;0;40;;40
00689;6;3;7;0;0;0;0;0;0;1;0;0;0;70;;70
00694;5;1;3;0;0;0;0;0;0;0;1;0;0;21;;21
00694;5;3;2;0;0;0;0;0;0;0;1;0;0;40;;40
00696;5;3;4;0;0;0;1;0;0;0;0;0;0;40;;40
00696;5;9;6;0;0;0;1;1;1;0;0;0;0;50;;50
00698;1;3;10;0;0;1;0;0;0;0;0;0;0;80;;80
00698;1;7;1;0;0;0;0;0;0;1;0;0;0;20;;20
00698;1;9;4;0;0;0;0;0;0;1;0;0;0;100;;100
00701;2;3;8;0;0;1;0;0;0;0;0;0;0;100;;100
00702;2;4;10;0;0;0;0;0;0;0;0;0;0;100;;100
00702;2;9;4;0;0;0;0;0;0;0;1;0;0;350;;350
00704;6;4;99;0;0;0;0;0;0;0;0;0;0;999999;;5
00711;6;3;2;0;0;1;1;0;0;0;0;0;0;40;;40
00711;6;9;4;0;0;0;0;0;0;0;1;0;0;14;;14
00714;5;3;6;0;0;0;1;0;0;0;0;0;0;24;;24
00714;5;9;1;0;0;0;0;0;0;0;1;0;0;10;;10
00715;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;4
00720;3;3;15;0;0;0;0;0;0;0;1;0;0;250;;250
00723;1;3;2;0;0;0;1;0;0;0;1;0;0;40;;40
00723;1;9;3;0;0;0;1;0;0;0;1;0;0;35;;35
00724;4;5;5;0;0;0;0;0;0;0;1;0;0;20;;20
00728;5;3;4;0;0;0;0;0;0;0;1;0;0;40;;40
00728;5;9;99;0;0;0;0;0;0;0;0;0;0;50;;50
00731;4;1;3;0;0;0;0;0;0;1;0;0;0;36;;36
00731;4;3;5;0;0;0;0;0;0;1;1;0;0;20;;20
00738;1;3;1;0;0;0;1;0;0;0;0;0;0;8;;8
00757;4;5;7;0;0;1;0;0;0;0;0;0;0;40;;40
00760;1;3;6;0;0;1;0;0;0;0;1;0;0;57;;57
00768;3;7;1;0;0;0;0;0;0;1;0;0;0;35;;35
00768;3;9;10;0;0;0;0;0;0;1;0;0;0;100;;100
00786;3;1;3;0;0;1;0;0;0;0;0;0;0;45;;45
00786;3;2;5;0;0;0;0;0;0;0;0;0;0;50;;50
00786;3;3;6;0;0;1;0;0;0;0;1;0;0;120;;120
00786;3;5;2;0;0;1;0;0;0;0;0;0;0;30;;30
00807;1;1;1;0;0;1;0;0;0;0;0;0;0;13;;13
00807;1;9;2;0;0;0;0;0;0;1;0;0;0;46;;46
00814;4;1;1;0;0;0;0;0;0;1;0;0;0;18;;18
00814;4;3;3;0;0;0;1;0;0;0;0;0;0;35;;35
00817;2;1;3;0;0;0;0;0;0;0;1;0;0;40;;40
00817;2;3;4;0;0;0;0;0;0;0;1;0;0;33;;33
00817;2;5;1;0;0;0;1;0;0;0;0;0;0;10;;10
00817;2;9;4;0;0;0;0;0;0;1;0;0;0;80;;80
00823;1;1;2;0;0;0;1;0;0;0;0;0;0;20;;20
00830;1;3;3;0;0;0;1;0;0;0;0;0;0;25;;25
00835;2;9;1;0;0;1;0;0;0;0;0;0;0;50;;50
00839;3;3;7;0;0;0;0;0;0;1;0;0;0;60;;60
00839;3;9;10;0;0;1;0;0;0;1;0;0;0;150;;150
00840;6;4;99;0;0;0;0;0;0;0;0;0;0;999999;;3
00847;4;5;6;0;0;0;1;0;0;0;0;0;0;18;;18
00855;3;3;3;0;0;1;0;0;0;0;0;0;0;50;;50
00856;1;1;3;0;0;0;0;0;0;1;0;0;0;999999;;6
00856;1;3;5;0;0;0;0;0;0;1;0;0;0;90;;90
00856;1;5;1;0;0;0;0;0;0;1;0;0;0;7;;7
00856;1;7;4;0;0;0;0;0;0;1;0;0;0;65;;65
00856;1;7;4;0;0;0;0;0;0;1;0;0;0;65;;37
00856;1;9;1;0;0;0;0;0;0;1;0;0;0;15;;15
00858;1;3;4;0;0;1;0;0;0;0;0;0;0;25;;25
00870;2;1;20;0;0;0;0;0;0;0;0;1;0;200;;200
00878;2;1;2;0;0;0;1;0;0;0;0;0;0;24;;24
00878;2;3;5;0;0;0;0;0;0;0;1;0;0;85;;85
00882;6;4;99;0;0;0;0;0;0;0;0;0;0;999999;;19
00886;3;1;2;0;0;0;0;0;0;0;1;0;0;32;;32
00886;3;3;4;0;0;0;0;0;0;0;1;0;0;40;;40
00896;2;3;10;0;0;1;0;0;0;1;1;0;0;150;;150
00899;1;4;4;0;0;0;0;0;0;0;0;0;0;999999;;22
00899;1;9;10;0;0;0;0;0;0;1;1;0;0;150;;150
00902;6;3;8;0;0;0;0;0;0;0;0;1;0;8;;8
00903;3;1;3;0;0;1;0;0;0;0;0;0;0;89;;89
00903;3;5;2;0;0;0;1;0;0;0;0;0;0;59;;59
00907;5;9;2;0;0;0;0;0;0;1;0;0;0;30;;30
00908;1;3;10;0;0;0;0;0;0;1;0;0;0;100;;100
00908;1;7;99;0;0;0;0;0;0;0;0;0;0;999999;;20
00915;5;3;3;0;0;0;0;0;0;1;0;0;0;25;;25
00916;1;2;99;0;0;0;0;0;0;0;0;0;0;999999;;15
00916;1;3;4;0;0;0;1;0;0;1;0;0;0;20;;20
00916;1;7;1;0;0;0;0;0;0;0;1;0;0;10;;10
00916;1;7;1;0;0;0;0;0;0;0;1;0;0;10;;60
00916;1;9;5;0;0;0;1;0;0;1;0;0;0;150;;150
00917;1;4;99;0;0;0;0;0;0;0;0;0;0;999999;;40
00932;4;3;1;0;0;0;0;0;0;0;0;1;0;1;;1
00932;4;9;1;0;0;0;0;0;0;0;0;1;0;1;;1
00934;2;3;1;0;0;0;0;0;0;0;1;0;0;17;;17
00935;3;1;1;0;0;0;1;0;0;0;0;0;0;14;;14
00935;3;3;2;0;0;0;1;0;0;0;0;0;0;12;;12
00935;3;7;1;0;0;0;0;0;0;1;0;0;0;60;;60
00935;3;9;8;0;0;0;1;0;0;0;0;0;0;150;;150
00936;6;1;1;0;0;0;0;0;0;1;0;0;0;7;;7
00937;3;3;3;0;0;0;0;0;0;0;0;0;0;999999;0;19
00938;2;7;1;0;0;0;0;0;0;1;0;0;0;50;;50
00941;1;3;5;0;0;0;0;0;0;1;0;0;0;30;;30
00941;1;9;2;0;0;0;0;1;0;0;0;0;0;20;;20
00942;5;1;1;0;0;0;0;0;0;0;0;0;1;20;;20
00942;5;3;1;0;0;0;0;0;0;0;1;0;0;13;;13
00942;5;9;1;0;0;0;0;0;0;1;0;0;0;19;;19
00946;2;7;1;0;0;0;0;0;1;0;0;0;0;49;;49
00949;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;10
00949;4;9;1;0;0;0;1;0;0;0;0;0;0;40;;40
