IDENT_MEN;VAG;NBVEHIC;MARQUE;CARBU1;CARBU2;CARBU3;CARBU4;CARBU5;Anvoi;EXPVOI1;EXPVOI2;EXPVOI3;EXPVOI4;Provoi;Protrav;Km_Auto;Repar_auto;Fraisvoi;Persvoi;Quivoi;Apvoi;Gravoi;Recvoi;Moisvoi;Lieuvoi;Acqvoi;Crevoi;Empvoi;Apervoi;Mcrevoi;Ancvoi;Repvoi;Privoi;MARQUE_D;NUMVEHIC;FRAISVOI_D;REPAR_AUTO_D;MCREVOI_D;PRIVOI_D;REPVOI_D
00044;5;2;LEXUS TOYOTA;1;0;0;0;0;2014;0;0;1;0;;;;0;0;1;1;3;;2014;;;;;;;;;;;LEXUS;1;;;;;
00044;5;2;RENAULT MODUS;1;0;0;0;0;2008;0;0;1;0;;;;0;0;1;2;3;;2008;;;;;;;;;;;RENAULT MODUS;2;;;;;
00045;3;1;PEUGEOT 307 SW;0;1;0;0;0;2002;1;0;1;0;;30;150;0;0;1;1;3;;2007;;;;;;;;;;;PEUGEOT 307;1;;;;;
00046;3;2;AUDI;1;0;0;0;0;2011;1;1;1;0;95;5;400;0;0;3;;3;;2011;;;;;;;;;;;AUDI - NON SPECIFIE;1;;;;;
00046;3;2;AUDI;0;1;0;0;0;1998;1;1;1;0;95;5;550;0;0;3;;3;;1998;;;;;;;;;;;AUDI - NON SPECIFIE;2;;;;;
00048;3;1;NISSAN MICRA;1;0;0;0;0;2011;1;0;1;0;;30;82;0;0;1;1;3;;2011;;;;;;;;;;;NISSAN MICRA;1;;;;;
00050;1;1;FIAT;0;1;0;0;0;1996;0;0;1;0;;;;200;0;1;1;3;;2015;;;;;;;;;;;FIAT - NON SPECIFIE;1;;200;;;
00051;1;1;AUDI;0;1;0;0;0;2006;0;0;1;0;;;;0;120;1;1;3;;2015;7;;;;;;;;;;AUDI - NON SPECIFIE;1;120;;;;
00053;4;2;BERLINGO;0;1;0;0;0;2001;0;0;1;0;;;;0;70;1;1;3;;2006;;;;;;;;;;;CITROEN BERLINGO;1;70;;;;
00053;4;2;FORD;1;0;0;0;0;2006;0;0;1;0;;;;0;0;1;1;3;;2009;;;;;;;;;;;FORD - NON SPECIFIE;2;;;;;
00058;6;1;RENAULT KANGOO;0;1;0;0;0;2003;0;0;1;0;;;;1176;0;1;2;3;;2007;;;;;;;;;;;RENAULT KANGOO;1;;1176;;;
00059;3;2;AUDI Q3;0;1;0;0;0;2015;0;0;1;0;;;;0;0;1;1;3;;2015;;;;;;;;;;;AUDI - GROUPE;1;;;;;
00059;3;2;AUDI TT;1;0;0;0;0;2013;1;0;1;0;;100;800;0;0;1;1;3;;2013;;;;;;;;;;;AUDI - GROUPE;2;;;;;
00060;3;2;NISSAN;1;0;0;0;0;2012;1;0;1;0;;999;99999;0;0;1;1;3;;2012;;;;;;;;;;;NISSAN - NON SPECIFIE;1;;;;;
00060;3;2;VOLSWAGEN;1;0;0;0;0;2013;1;0;1;0;;999;99999;0;0;1;2;3;;2016;11;5;2;3;0;7000;;2;0;7000;VOLKSWAGEN - NON SPECIFIE;2;;;;7000;0
00062;1;1;R21 NEVADA;0;1;0;0;0;1993;1;0;1;0;;80;426;0;0;1;1;4;;;;;;;;;;;;;RENAULT 21;1;;;;;
00063;6;1;LAGUNA RENAULT;1;0;0;0;0;2003;0;0;1;0;;;;0;0;1;1;3;;2013;;;;;;;;;;;RENAULT LAGUNA;1;;;;;
00066;2;2;PEUGEOT 206;1;0;0;0;0;2003;0;0;1;0;;;;816;0;1;1;3;;2015;2;;;;;;;;;;PEUGEOT 206;1;;816;;;
00066;2;2;RENAULT RAPIDO;0;1;0;0;0;1993;0;0;1;0;;;;0;0;1;1;3;;2010;;;;;;;;;;;RENAULT;2;;;;;
00067;2;2;NISSAN;0;1;0;0;0;2008;0;0;1;0;;;;0;0;1;2;3;;2008;;;;;;;;;;;NISSAN - NON SPECIFIE;1;;;;;
00067;2;2;TOYOTA;0;1;0;0;0;2003;1;0;0;0;;50;1000;0;100;1;1;3;;2003;;;;;;;;;;;TOYOTA - NON SPECIFIE;2;100;;;;
00068;3;2;HYUNDAI;0;1;0;0;0;2011;1;0;1;0;;0;250;0;220;1;1;3;;2013;;;;;;;;;;;HYUNDAI - NON SPECIFIE;1;220;;;;
00068;3;2;PARTNER;0;1;0;0;0;2005;1;0;1;0;;20;400;450;0;1;2;3;;2006;;;;;;;;;;;PEUGEOT PARTNER;2;;450;;;
00069;3;1;307 PEUGEOT;0;1;0;0;0;2005;0;0;1;0;;;;0;0;1;1;3;;2008;;;;;;;;;;;PEUGEOT 307;1;;;;;
00070;3;1;NISSAN;1;0;0;0;0;2015;1;0;1;0;;40;60;0;0;1;1;3;;2015;;;;;;;;;;;NISSAN - NON SPECIFIE;1;;;;;
00071;4;3;CLIO;0;1;0;0;0;2011;0;0;1;0;;;;400;0;1;3;3;;2011;;;;;;;;;;;RENAULT CLIO;1;;400;;;
00071;4;3;DEFENDER 130 TDI;0;1;0;0;0;1996;0;0;1;0;;;;999999;0;1;2;3;;1996;;;;;;;;;;;LANDROVER 4X4;2;;400;;;
00071;4;3;KIA;0;1;0;0;0;2008;0;0;1;0;;;;0;0;1;1;3;;2008;;;;;;;;;;;KYA - NON SPECIFIE;3;;;;;
00072;3;1;XSARA;1;0;0;0;0;2006;0;0;1;0;;;;0;0;1;1;3;;2012;;;;;;;;;;;CITROEN XSARA;1;;;;;
00073;3;1;SEAT;0;1;0;0;0;2015;1;0;1;0;;70;550;0;0;1;1;3;;2015;;;;;;;;;;;SEAT - NON SPECIFIE;1;;;;;
00075;1;1;106 PEUGEOT;1;0;0;0;0;1991;1;0;1;0;;0;0;120;0;1;1;3;;2014;;;;;;;;;;;PEUGEOT 106;1;;120;;;
00076;1;1;KANGOU;1;0;0;0;0;1994;1;0;1;0;;80;99999;0;0;1;3;3;;2014;;;;;;;;;;;RENAULT KANGOO;1;;;;;
00077;3;1;PICASSO;0;1;0;0;0;2007;0;0;1;0;;;;0;100;1;1;3;;2014;;;;;;;;;;;CITROEN PICASSO;1;100;;;;
00079;1;1;CLIO;1;0;0;0;0;1998;0;0;1;0;;;;1500;0;1;2;3;;1998;;;;;;;;;;;RENAULT CLIO;1;;1500;;;
00080;6;2;MAZDA CX5;0;1;0;0;0;2017;1;0;1;0;;80;250;0;0;1;1;1;;2017;1;2;1;1;0;0;4680;3;0;999999;MAZDA;1;;;4680;30000;0
00080;6;2;PEUGEOT 208;0;1;0;0;0;2017;1;0;1;0;;70;350;0;0;1;2;1;;2017;1;2;1;1;0;0;2200;3;0;999999;PEUGEOT 208;2;;;2200;17000;0
00082;3;1;DACIA SANDERO;0;1;0;0;0;2014;1;0;1;0;;70;184;0;0;1;1;3;;2014;;;;;;;;;;;DACIA SANDERO;1;;;;;
00083;3;1;LEON;1;0;0;0;0;2001;0;0;1;0;;;;0;0;1;1;3;;2015;;;;;;;;;;;SEAT;1;;;;;
00084;2;1;RENAULT CLIO;1;0;0;0;0;2013;0;0;1;0;;;;0;0;1;1;3;;2013;;;;;;;;;;;RENAULT CLIO;1;;;;;
00085;1;2;DS3;1;0;0;0;0;2013;0;0;1;0;;;;0;0;1;1;3;;2013;;;;;;;;;;;CITROEN DS3;1;;;;;
00085;1;2;FIAT 500;1;0;0;0;0;2011;1;0;0;0;;70;108;0;0;1;2;1;;2011;;;;;;;;;;;FIAT 500;2;;;;;
00086;1;1;RENAULT CAPTUR;1;0;0;0;0;2016;1;1;1;0;0;100;80;0;0;1;1;3;;2017;9;2;2;1;18000;0;2000;2;1000;17000;RENAULT CAPTUR;1;;;2000;17000;1000
00087;6;2;PEUGEOT 206;0;1;0;0;0;2004;0;0;1;0;;;;0;0;1;2;3;;2005;;;;;;;;;;;PEUGEOT 206;1;;;;;
00087;6;2;RENAULT CAPTURE;1;0;0;0;0;2016;0;0;1;0;;;;0;0;1;1;3;;2017;2;2;2;3;0;13300;;1;4000;17300;RENAULT CAPTUR;2;;;;17300;4000
00088;5;1;FIAT PUNTO;1;0;0;0;0;2003;0;0;1;0;;;;0;200;1;1;3;;2016;9;3;2;3;0;0;;2;2500;200;FIAT PUNTO;1;200;;;200;2500
00090;1;1;PEUGEOT BEEPER;0;1;0;0;0;2010;0;1;1;0;40;;;360;0;1;1;3;;2013;;;;;;;;;;;PEUGEOT BIPPER;1;;360;;;
00092;3;3;PEUGEOT 205;0;1;0;0;0;1987;0;0;1;0;;;;0;0;1;1;3;;1987;;;;;;;;;;;PEUGEOT 205;1;;;;;
00092;3;3;PEUGEOT 206;0;1;0;0;0;1991;1;0;1;0;;50;72;0;0;1;1;3;;9999;;;;;;;;;;;PEUGEOT 206;2;;;;;
00092;3;3;TOYOTA AYGO;1;0;0;0;0;1995;1;0;1;0;;100;200;0;0;1;3;2;2;;;;;;;;;;;;TOYOTA AYGO;3;;;;;
00094;2;2;C3;0;1;0;0;0;2011;1;0;1;0;;75;250;0;0;1;2;3;;2015;3;;;;;;;;;;CITROEN C3;1;;;;;
00094;2;2;KANGOO;0;1;0;0;0;2000;1;0;1;0;;0;100;0;150;1;1;3;;2010;;;;;;;;;;;RENAULT KANGOO;2;150;;;;
00096;5;1;MINI COOPER;1;0;0;0;0;2006;0;0;1;0;;;;200;0;1;1;3;;2006;;;;;;;;;;;MINI COOPER;1;;200;;;
00097;5;1;ALFA ROMEO;0;1;0;0;0;2006;1;0;1;0;;80;300;0;0;1;2;3;;2013;;;;;;;;;;;ALFA ROMEO - NON SPECIFIE;1;;;;;
00098;2;1;DACIA DUSTER;0;1;0;0;0;2013;1;0;1;0;;70;30;1000;999999;1;1;3;;2013;;;;;;;;;;;DACIA DUSTER;1;80;1000;;;
00099;5;1;OPEL CORSA;1;0;0;0;0;2003;0;0;1;0;;;;0;360;1;1;3;;2003;;;;;;;;;;;OPEL CORSA;1;360;;;;
00100;4;2;CITROEN C4;0;1;0;0;0;2012;0;0;1;0;;;;0;0;1;1;3;;2016;12;5;2;3;0;9200;;2;1700;10900;CITROEN C4;1;;;;10900;1700
00100;4;2;PEUGEOT 206;1;0;0;0;0;2003;0;1;1;0;0;;;847;0;1;1;3;;2014;;;;;;;;;;;PEUGEOT 206;2;;847;;;
00101;5;2;FORD C-MAX;1;0;0;0;0;2015;1;0;1;0;;75;250;0;0;1;2;3;;2015;;;;;;;;;;;FORD C-MAX;1;;;;;
00101;5;2;TWINGO RENAULT;1;0;0;0;0;2002;1;0;1;0;;80;3;230;0;1;1;3;;2011;;;;;;;;;;;RENAULT TWINGO;2;;230;;;
00102;2;2;NISSAN;0;1;0;0;0;2012;1;0;0;0;;80;300;0;0;3;;3;;2012;;;;;;;;;;;NISSAN - NON SPECIFIE;1;;;;;
00102;2;2;PEUGEOT PARTENAIRE;0;1;0;0;0;2014;1;0;0;0;;80;120;0;0;3;;3;;2014;;;;;;;;;;;PEUGEOT PARTNER;2;;;;;
00106;2;1;RENAULT;0;1;0;0;0;2012;1;0;0;0;;0;10;0;0;1;1;3;;2013;;;;;;;;;;;RENAULT - NON SPECIFIE;1;;;;;
00107;5;1;PEUGEOT 206;0;1;0;0;0;2000;1;0;1;0;;0;70;100;0;1;1;3;;2016;6;;;;;;;;;;PEUGEOT 206;1;;100;;;
00108;1;2;RENAULT KANGOO;1;0;0;0;0;1998;0;0;1;0;;;;0;120;1;1;3;;1998;;;;;;;;;;;RENAULT KANGOO;1;120;;;;
00108;1;2;RENAULT TWINGO;1;0;0;0;0;1992;0;0;1;0;;;;450;250;1;2;3;;2002;;;;;;;;;;;RENAULT TWINGO;2;250;450;;;
00109;5;1;RENAULT SCENIC;0;1;0;0;0;2000;1;0;1;0;;80;150;0;0;1;1;3;;2016;9;2;2;3;0;1000;;2;200;1000;RENAULT SCENIC;1;;;;1000;200
00110;6;1;CITROEN JUMPY;0;1;0;0;0;2015;1;1;1;0;0;50;200;600;0;1;1;3;;2015;;;;;;;;;;;CITROEN JUMPY;1;;600;;;
00113;3;2;PEUGEOT;0;1;0;0;0;2006;1;0;0;0;;100;460;383;0;1;2;3;;2015;;;;;;;;;;;PEUGEOT - NON SPECIFIE;1;;383;;;
00113;3;2;RENAULT;0;1;0;0;0;2004;1;0;0;0;;75;150;477;0;1;1;3;;2013;;;;;;;;;;;RENAULT - NON SPECIFIE;2;;477;;;
00114;6;2;KANGOO;0;1;0;0;0;1998;0;0;1;0;;;;0;0;1;2;3;;2012;;;;;;;;;;;RENAULT KANGOO;1;;;;;
00114;6;2;RENAULT DACIA;0;1;0;0;0;2012;1;0;1;0;;0;99999;140;0;1;1;3;;2012;;;;;;;;;;;DACIA - NON SPECIFIE;2;;140;;;
00115;1;1;BMW;0;1;0;0;0;2000;0;0;1;0;;;;0;0;1;1;3;;2015;7;;;;;;;;;;BMW - NON SPECIFIE;1;;;;;
00116;1;2;DACIA DUSTER;0;1;0;0;0;2014;0;0;1;0;;;;0;0;1;1;3;;2016;2;2;2;3;0;11200;;1;1000;12200;DACIA DUSTER;1;;;;12200;1000
00116;1;2;MERCEDES CLASSE A;0;1;0;0;0;2014;0;0;1;0;;;;0;0;1;2;3;;2016;6;2;2;3;0;16000;;1;14000;30000;MERCEDES CLASSE A;2;;;;30000;14000
00117;6;1;CITROEN C1;1;0;0;0;0;2015;0;0;1;0;;;;0;0;1;1;1;;2015;;;;;;;;;;;CITROEN C1;1;;;;;
00118;5;2;RENAULT CLIO;0;1;0;0;0;2009;1;0;0;0;;0;0;0;0;1;2;3;;2009;;;;;;;;;;;RENAULT CLIO;1;;;;;
00118;5;2;RENAULT SCENIC;0;1;0;0;0;2017;1;0;1;0;;10;700;0;0;1;1;3;;2017;2;2;1;3;0;12000;;1;7900;19900;RENAULT SCENIC;2;;;;19900;7900
00119;3;2;RENAULT CLIO;0;1;0;0;0;2001;0;0;1;0;;;;0;70;1;2;3;;2005;;;;;;;;;;;RENAULT CLIO;1;70;;;;
00119;3;2;RENAULT MEGANE;0;1;0;0;0;2011;0;0;1;0;;;;0;90;1;1;3;;2012;;;;;;;;;;;RENAULT MEGANE;2;90;;;;
00121;6;2;MERCEDES A170;1;0;0;0;0;2005;1;0;1;0;;70;200;450;0;1;1;3;;2005;;;;;;;;;;;MERCEDES CLASSE A;1;;450;;;
00121;6;2;OPEL;0;1;0;0;0;2007;0;0;1;0;;;;600;0;1;2;3;;2009;;;;;;;;;;;OPEL - NON SPECIFIE;2;;600;;;
00122;2;2;DACIA;1;0;0;0;0;2016;1;0;1;0;;80;50;0;0;1;2;3;;2016;6;2;1;1;8000;5500;1500;1;2500;16000;DACIA - NON SPECIFIE;1;;;1500;16000;2500
00122;2;2;RENAULT;1;0;0;0;0;2006;1;0;1;0;;80;120;0;0;1;3;3;;2006;;;;;;;;;;;RENAULT - NON SPECIFIE;2;;;;;
00123;2;1;RENAULT TWINGO;1;0;0;0;0;2008;1;1;0;0;80;80;147;0;75;1;1;3;;2008;;;;;;;;;;;RENAULT TWINGO;1;75;;;;
00124;4;1;GOLF;0;1;0;0;0;2006;1;0;1;0;;70;250;0;120;1;1;3;;2006;;;;;;;;;;;VOLKSWAGEN GOLF;1;120;;;;
00126;1;2;BMW;0;1;0;0;0;2001;1;0;1;0;;80;306;690;0;1;1;3;;2004;;;;;;;;;;;BMW - NON SPECIFIE;1;;690;;;
00126;1;2;RENAULT 8;1;0;0;0;0;1964;0;0;1;0;;;;0;0;1;1;3;;2010;;;;;;;;;;;RENAULT - GROUPE;2;;;;;
00127;2;2;RENAULT CLIO;0;1;0;0;0;2005;1;0;1;0;;0;0;0;0;1;2;3;;2015;9;;;;;;;;;;RENAULT CLIO;1;;;;;
00127;2;2;SEAT CORDOBA;0;1;0;0;0;2002;1;0;1;0;;60;99999;0;0;1;1;3;;2013;;;;;;;;;;;SEAT CORDOBA;2;;;;;
00129;1;1;C5;0;1;0;0;0;2001;0;0;1;0;;;;0;0;1;1;3;;2016;11;2;2;3;0;0;;1;2000;2000;CITROEN C5;1;;;;2000;2000
00130;6;1;PEUGEOT 206 S W;0;1;0;0;0;2004;1;1;1;0;90;20;250;0;0;1;1;3;;2006;;;;;;;;;;;PEUGEOT 206;1;;;;;
00131;3;1;CLIO;1;0;0;0;0;2015;0;0;1;0;;;;0;0;1;2;3;;2015;;;;;;;;;;;RENAULT CLIO;1;;;;;
00132;4;2;HUNDAY I 30;0;1;0;0;0;2005;1;0;1;0;;90;520;0;0;1;1;3;;2011;;;;;;;;;;;HYUNDAI;1;;;;;
00132;4;2;PEUGEOT 307;1;0;0;0;0;2007;0;0;1;0;;;;0;0;1;2;3;;2016;9;2;2;1;2900;0;600;2;300;2900;PEUGEOT 307;2;;;600;2900;300
00133;6;2;CLIO;0;1;0;0;0;2000;1;0;1;0;;95;60;0;0;1;3;3;;2013;;;;;;;;;;;RENAULT CLIO;1;;;;;
