IDENT_MEN;VAG;NUMVEHAUT;NBVELOO;NBVELO;NB2R;NAUT;Natvelo;Quivelo;Acqvelo;Lieuvelo;Crevelo;Mvelo;Privelo;Nat2r;Pre2r;MARQUE_D;Puiss2r;Frais2r;Rec2r;Lieu2r;Acq2r;Cre2r;Mcre2r;Pri2r;NatAut;PreAut;FraisAut;Mfraisaut;Recaut;Lieuaut;Acqaut;Creaut;Mcreaut;Priaut;FRAIS2R_D;MCRE2R_D;MCREAUT_D;MFRAISAUT_D;MVELO_D;PRI2R_D;PRIVELO_D;PRIAUT_D
00345;1;2;2;0;2;;;;;;;;;1;VESTROM K 2009;;2;200;2;;;;;;;;;;;;;;;;200;;;;;;;
00354;2;1;5;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
00355;2;1;2;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
00365;3;1;;;;1;;;;;;;;;;;;;;;;;;;5;TRACTEUR;2;;2;;;;;;;;;;;;;
00367;1;1;7;1;1;;1;1;2;9;2;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
00367;1;2;7;1;1;;;;;;;;;1;FAZER 750;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00372;3;1;4;0;1;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00384;6;1;3;1;;;3;1;2;8;2;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;
00385;2;1;2;0;1;2;;;;;;;;1;CHOPPER;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00385;2;2;2;0;1;2;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
00385;2;3;2;0;1;2;;;;;;;;;;;;;;;;;;;5;CAMION FORD;2;;2;;;;;;;;;;;;;
00386;4;1;3;1;;;1;3;2;3;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
00387;5;1;1;1;;;1;3;1;4;2;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;
00396;2;1;4;1;;;3;3;1;3;2;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;
00410;3;1;3;0;2;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00410;3;2;3;0;2;;;;;;;;;4;SYM;SYM - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00411;2;1;;;1;;;;;;;;;1;SUZUKI VANVAN;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00417;1;1;2;0;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00418;6;1;3;1;;;9;2;2;10;2;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;
00426;1;1;;;1;;;;;;;;;1;VEROD;;2;999999;2;;;;;;;;;;;;;;;;150;;;;;;;
00441;5;1;3;0;1;;;;;;;;;1;MOTO;NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00445;1;1;1;1;;;3;3;2;10;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
00448;1;1;2;0;2;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00448;1;2;2;0;2;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;10;2;;;;;;;;;;;;;;;;10;;;;;;;
00455;1;1;6;2;;;2;1;2;10;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
00455;1;2;6;2;;;2;4;2;10;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
00459;5;1;;;1;;;;;;;;;1;TRIUMPH BONNEVILLE;;1;220;2;;;;;;;;;;;;;;;;220;;;;;;;
00460;4;1;3;2;;;3;2;1;7;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
00460;4;2;3;2;;;4;1;1;7;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
00463;4;1;2;2;;;3;1;1;7;2;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
00463;4;2;2;2;;;3;2;1;7;2;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
00464;3;1;;;;1;;;;;;;;;;;;;;;;;;;5;REMORQUE;2;;2;;;;;;;;;;;;;
00467;6;1;2;2;;;3;1;1;7;2;;1439;;;;;;;;;;;;;;;;;;;;;;;;;;;;1439;
00467;6;2;2;2;;;7;2;1;7;2;;699;;;;;;;;;;;;;;;;;;;;;;;;;;;;699;
00471;3;1;;;1;;;;;;;;;4;PIAGIO;PIAGGIO - NON SPECIFIE;4;999999;2;;;;;;;;;;;;;;;;500;;;;;;;
00475;5;1;1;1;;;4;1;1;7;2;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;159;
00497;6;1;2;1;;;5;2;2;3;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
00499;3;1;9;0;1;1;;;;;;;;1;125XL HONDA;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00499;3;2;9;0;1;1;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;
00506;6;1;;;1;;;;;;;;;4;FRUNCUN;;4;999999;2;;;;;;;;;;;;;;;;150;;;;;;;
00507;2;1;2;0;;1;;;;;;;;;;;;;;;;;;;3;;1;999999;2;;;;;;;;;3500;;;;
00519;1;1;5;3;;1;1;4;1;7;2;;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;179;
00519;1;2;5;3;;1;1;5;1;7;2;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;
00519;1;3;5;3;;1;4;2;1;7;2;;279;;;;;;;;;;;;;;;;;;;;;;;;;;;;279;
00519;1;4;5;3;;1;;;;;;;;;;;;;;;;;;;5;MOTO;2;;2;;;;;;;;;;;;;
00521;1;1;;;1;;;;;;;;;4;STALKER EXTREME;;3;300;2;;;;;;;;;;;;;;;;300;;;;;;;
00523;5;1;6;1;;;4;3;1;8;2;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;
00524;3;1;4;1;;;3;5;2;10;2;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;
00560;4;1;4;0;1;;;;;;;;;1;HARLEY DAVIDSON;HARLEY-DAVIDSON;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00563;2;1;3;0;2;;;;;;;;;3;PEUGEOT 103;PEUGEOT 50;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00563;2;2;3;0;2;;;;;;;;;5;SOLEX;SOLEX 50;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00565;3;1;3;1;;;1;3;2;10;2;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;
00566;6;1;1;0;1;;;;;;;;;1;HONDA 1200;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00567;6;1;;;2;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00567;6;2;;;2;;;;;;;;;1;SUZIKI;SUZUKI - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00579;5;1;2;0;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00583;3;1;2;0;2;;;;;;;;;1;TRIUMPH;TRIUMPH - NON SPECIFIE;1;70;2;;;;;;;;;;;;;;;;70;;;;;;;
00583;3;2;2;0;2;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00588;1;1;5;2;;;1;4;1;7;2;;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;
00588;1;2;5;2;;;4;1;2;3;2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;
00590;2;1;4;1;;1;5;2;2;3;2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;
00590;2;2;4;1;;1;;;;;;;;;;;;;;;;;;;1;;2;;1;3;2;2;;1;;;;;;;;1
00591;3;1;3;1;;;3;1;1;8;2;;2600;;;;;;;;;;;;;;;;;;;;;;;;;;;;2600;
00595;3;1;6;2;;1;1;3;2;10;2;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;
00595;3;2;6;2;;1;1;4;2;10;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
00595;3;3;6;2;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
00596;4;1;2;1;;;7;1;1;7;2;;1300;;;;;;;;;;;;;;;;;;;;;;;;;;;;1300;
00606;2;1;1;0;2;;;;;;;;;1;?;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00606;2;2;1;0;2;;;;;;;;;3;YAMAHA  49,9;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00612;4;1;1;1;;;3;1;2;3;2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;
00622;2;1;6;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
00623;1;1;2;0;1;;;;;;;;;1;600 BANDIT;SUZUKI  600;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00634;5;1;4;0;;1;;;;;;;;;;;;;;;;;;;5;VOITURE PROFESSIONNEL;2;;2;;;;;;;;;;;;;
00642;4;1;4;0;2;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;2;0;1;3;2;2;;999999;;;;;;;;;;;;;;;;700;;
00642;4;2;4;0;2;;;;;;;;;4;KATANA;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00660;4;1;4;1;;;3;4;1;1;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
00668;5;1;2;1;;;3;2;2;10;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
00669;5;1;2;2;;;1;2;2;10;2;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;
00669;5;2;2;2;;;2;1;1;4;2;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;
00672;2;1;;;1;;;;;;;;;4;KIMCO;KYMCO - NON SPECIFIE;4;0;1;3;2;2;;650;;;;;;;;;;;;;;;;650;;
00673;3;1;2;0;1;;;;;;;;;3;PIAGGIO;PIAGGIO - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00680;4;1;;;1;;;;;;;;;4;PIAGGIO;PIAGGIO - NON SPECIFIE;2;0;1;2;1;2;;999999;;;;;;;;;;;;;;;;8350;;
00681;6;1;2;0;2;;;;;;;;;1;TDM YAMAHA;YAMAHA 850;1;120;2;;;;;;;;;;;;;;;;120;;;;;;;
00681;6;2;2;0;2;;;;;;;;;1;TDM YAMAHA;YAMAHA 850;1;400;2;;;;;;;;;;;;;;;;400;;;;;;;
00688;5;1;3;0;1;;;;;;;;;1;TRIUMPH STREET TRIPLE;;2;800;2;;;;;;;;;;;;;;;;800;;;;;;;
00689;6;1;;;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
00692;3;1;3;0;4;;;;;;;;;1;HARLEY DAVINSON;HARLEY-DAVIDSON;1;50;2;;;;;;;;;;;;;;;;50;;;;;;;
00692;3;2;3;0;4;;;;;;;;;1;MOTO GUZZI;MOTO-GUZZI - NON SPECIFIE;1;50;2;;;;;;;;;;;;;;;;50;;;;;;;
00692;3;3;3;0;4;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00692;3;4;3;0;4;;;;;;;;;5;SUZUKI SID CAR;;1;300;2;;;;;;;;;;;;;;;;300;;;;;;;
00695;6;1;5;1;1;1;4;1;1;8;2;;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1100;
00695;6;2;5;1;1;1;;;;;;;;3;MOTOBECANE;MOTOBECANE - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00695;6;3;5;1;1;1;;;;;;;;;;;;;;;;;;;1;;2;;1;3;2;2;;500;;;;;;;;500
00703;5;1;8;0;1;;;;;;;;;1;YOSUNG;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00704;6;1;1;0;1;1;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00704;6;2;1;0;1;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
00711;6;1;1;0;1;;;;;;;;;4;SYM 50 CC;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00716;4;1;;;1;;;;;;;;;1;YAMAHA 125;YAMAHA 125;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00724;4;1;2;0;1;;;;;;;;;1;APRILIA 125;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00728;5;1;3;1;;;1;3;1;7;2;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;
00729;1;1;1;0;;1;;;;;;;;;;;;;;;;;;;5;QUAD;2;;2;;;;;;;;;;;;;
00742;3;1;2;1;;;1;4;1;7;2;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;
00746;4;1;;;2;;;;;;;;;1;MOTO 125CM3;;3;999999;1;3;2;2;;750;;;;;;;;;;;116;;;;;750;;
00746;4;2;;;2;;;;;;;;;4;SCOOTER;NON SPECIFIE;4;116;2;;;;;;;;;;;;;;;;116;;;;;;;
00750;2;1;4;1;;;1;4;1;7;2;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;
00758;2;1;2;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;1;2;1;1;600;50000;;;600;;;;;50000
00760;1;1;2;0;1;;;;;;;;;1;PEUGEOT XP;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00763;6;1;2;1;;;1;2;1;1;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
00772;1;1;3;0;2;1;;;;;;;;1;HONDA 1200;;1;600;2;;;;;;;;;;;;;;;;600;;;;;;;
00772;1;2;3;0;2;1;;;;;;;;1;KAWASAKI;KAWASAKI - NON SPECIFIE;2;1000;1;3;2;2;;2500;;;;;;;;;;;1000;;;;;2500;;
00772;1;3;3;0;2;1;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;
00777;1;1;1;1;;1;1;2;1;4;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
00777;1;2;1;1;;1;;;;;;;;;;;;;;;;;;;5;QUAD;2;;2;;;;;;;;;;;;;
00780;5;1;3;1;;;4;3;2;10;2;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;
00786;3;1;2;0;1;;;;;;;;;1;BMW 1200;BMW 1200;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00791;4;1;2;0;1;;;;;;;;;4;MOTOBECANE;MOTOBECANE - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00793;2;1;;;1;;;;;;;;;1;HONDA CBR 500;;2;120;1;2;1;2;;6000;;;;;;;;;;;120;;;;;6000;;
00794;1;1;5;1;;;1;1;2;3;2;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;
00798;2;1;3;0;1;;;;;;;;;1;HONDA VFR 750;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00803;4;1;1;0;1;;;;;;;;;3;PEUGEOT;PEUGEOT - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00804;2;1;2;0;;1;;;;;;;;;;;;;;;;;;;1;;1;250;2;;;;;;;;;250;;;;
00805;5;1;2;0;1;;;;;;;;;4;SYM FIDDLE;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00810;4;1;1;1;;;3;3;1;8;2;;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;269;
00839;3;1;6;1;;;3;2;1;8;2;;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1100;
00842;3;1;;;1;;;;;;;;;5;SOLEX;SOLEX 50;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00858;1;1;2;1;;;3;1;1;7;2;;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;
00860;1;1;;;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
