IDENT_MEN;VAG;NUMVEHAUT;NBVELOO;NBVELO;NB2R;NAUT;Natvelo;Quivelo;Acqvelo;Lieuvelo;Crevelo;Mvelo;Privelo;Nat2r;Pre2r;MARQUE_D;Puiss2r;Frais2r;Rec2r;Lieu2r;Acq2r;Cre2r;Mcre2r;Pri2r;NatAut;PreAut;FraisAut;Mfraisaut;Recaut;Lieuaut;Acqaut;Creaut;Mcreaut;Priaut;FRAIS2R_D;MCRE2R_D;MCREAUT_D;MFRAISAUT_D;MVELO_D;PRI2R_D;PRIVELO_D;PRIAUT_D
07757;5;1;2;1;;;1;3;2;3;2;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;
07762;2;1;3;0;1;;;;;;;;;3;MOBYLETTE;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
07775;4;1;;;1;;;;;;;;;4;PIAGIOT;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
07782;2;1;1;0;1;1;;;;;;;;4;PEUGEOT 125;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07782;2;2;1;0;1;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
07787;1;1;1;0;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;1;2;2;2;;3200;;;;;;;;;;;;;;;;3200;;
07791;3;1;1;1;;;1;2;1;8;2;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;
07794;2;1;;;;1;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;
07802;5;1;3;0;1;;;;;;;;;1;HONDA 125;HONDA 125;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07803;1;1;2;1;;;1;3;1;7;2;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;
07812;4;1;;;;1;;;;;;;;;;;;;;;;;;;5;TRACTEUR;2;;2;;;;;;;;;;;;;
07820;6;1;2;0;;1;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;
07824;4;1;1;1;;;1;2;1;8;2;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;
07827;4;1;;;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;500;2;;;;;;;;;;;;;;;;500;;;;;;;
07828;6;1;5;2;;;1;4;1;4;2;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;
07828;6;2;5;2;;;1;4;1;7;1;19;119;;;;;;;;;;;;;;;;;;;;;;;;;;19;;119;
07829;5;1;2;0;1;;;;;;;;;4;HONDA;HONDA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
07833;2;1;;;1;;;;;;;;;4;PIAGGO;PIAGGIO - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
07834;1;1;4;0;;2;;;;;;;;;;;;;;;;;;;1;;1;315;2;;;;;;;;;315;;;;
07834;1;2;4;0;;2;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
07842;3;1;;;1;;;;;;;;;4;YAMAHA CITY 125;;2;274;2;;;;;;;;;;;;;;;;274;;;;;;;
07853;6;1;1;0;1;;;;;;;;;1;BUELL;;1;525;1;3;2;2;;3800;;;;;;;;;;;525;;;;;3800;;
07857;5;1;4;0;1;1;;;;;;;;1;KAWASAKI;KAWASAKI - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
07857;5;2;4;0;1;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
07859;3;1;;;1;;;;;;;;;4;PIAGGO MP3;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
07860;1;1;1;1;;;1;4;2;10;2;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;
07863;3;1;1;1;;;1;2;1;3;2;;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;115;
07871;1;1;1;1;;;1;2;1;4;2;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;
07875;2;1;1;0;1;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07908;1;1;;;3;;;;;;;;;1;HYOZONO;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
07908;1;2;;;3;;;;;;;;;1;SUSUKI;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
07908;1;3;;;3;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07909;3;1;1;0;1;;;;;;;;;5;DAYAN;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
07921;4;1;2;0;1;;;;;;;;;4;BLACK MAGIC;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
07928;1;1;1;0;1;;;;;;;;;4;PIAGGIO;PIAGGIO - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
07933;3;1;1;1;;;3;2;2;10;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
07939;4;1;3;1;;;3;2;1;7;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
07950;6;1;4;1;;;2;1;2;10;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
07961;2;1;2;0;1;;;;;;;;;1;YAMAHA XJR;YAMAHA - NON SPECIFIE;1;650;2;;;;;;;;;;;;;;;;650;;;;;;;
07962;4;1;4;0;3;;;;;;;;;1;RG;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
07962;4;2;4;0;3;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07962;4;3;4;0;3;;;;;;;;;3;PEUGEOT 103;PEUGEOT 50;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
07969;1;1;;;1;;;;;;;;;5;QUAD YAMAHA;;2;100;2;;;;;;;;;;;;;;;;100;;;;;;;
07976;4;1;3;0;2;;;;;;;;;1;MOTO 200KX;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07976;4;2;3;0;2;;;;;;;;;1;MOTO 80 YZ;;3;200;2;;;;;;;;;;;;;;;;200;;;;;;;
07984;4;1;4;0;1;;;;;;;;;1;MOTO GUILLER;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07986;3;1;3;0;;1;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;
07994;5;1;1;0;1;;;;;;;;;1;YAMAHA XJR 1300;;1;50;2;;;;;;;;;;;;;;;;50;;;;;;;
07995;2;1;3;1;;;2;2;1;7;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
07997;4;1;3;1;1;;1;3;2;10;2;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;
07997;4;2;3;1;1;;;;;;;;;4;T MAX;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
07999;4;1;3;1;;;4;1;1;7;2;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;280;
08000;6;1;1;1;;;3;7;1;4;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
08007;1;1;1;1;;;3;1;1;7;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
08008;6;1;3;1;;;1;3;1;7;2;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;
08014;3;1;5;1;1;;1;5;1;7;2;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;
08014;3;2;5;1;1;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08018;5;1;1;1;;;1;2;1;7;2;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;
08019;5;1;3;1;;;3;1;1;8;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
08034;6;1;3;1;;;1;3;1;7;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
08039;2;1;4;3;4;1;2;1;2;3;2;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;
08039;2;2;4;3;4;1;3;1;2;10;2;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;
08039;2;3;4;3;4;1;3;3;1;8;2;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;
08039;2;4;4;3;4;1;;;;;;;;1;BMW;BMW - NON SPECIFIE;2;50;2;;;;;;;;;;;;;;;;50;;;;;;;
08039;2;5;4;3;4;1;;;;;;;;1;SOYER;;2;1000;2;;;;;;;;;;;;;;;;1000;;;;;;;
08039;2;6;4;3;4;1;;;;;;;;1;WANDERER;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08039;2;7;4;3;4;1;;;;;;;;3;SOLEX 3008;;4;50;2;;;;;;;;;;;;;;;;50;;;;;;;
08039;2;8;4;3;4;1;;;;;;;;;;;;;;;;;;;5;MOTO/ SIDE CAR;2;;2;;;;;;;;;;;;;
08051;3;1;5;0;1;;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;3;0;1;2;1;1;88;1500;;;;;;;;;;;;88;;;;1500;;
08052;6;1;1;0;1;;;;;;;;;1;KAWASAKI ZZR;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08055;3;1;3;1;;;4;1;1;7;2;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
08057;2;1;;;3;;;;;;;;;4;GILERA;GILERA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08057;2;2;;;3;;;;;;;;;4;PIAGGIO ZIP 2;;3;0;1;3;2;2;;1200;;;;;;;;;;;;;;;;1200;;
08057;2;3;;;3;;;;;;;;;4;TYPHOON;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08060;3;1;2;0;1;;;;;;;;;4;SKYLINNER;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08063;2;1;3;1;;;1;3;2;3;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
08064;3;1;1;0;1;1;;;;;;;;1;YAMAHA MT 01;;2;300;2;;;;;;;;;;;;;;;;300;;;;;;;
08064;3;2;1;0;1;1;;;;;;;;;;;;;;;;;;;5;TRACTEUR;2;;2;;;;;;;;;;;;;
08065;6;1;6;0;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08068;6;1;9;0;1;;;;;;;;;4;METROPOLIS;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08070;6;1;1;1;;;3;3;1;7;2;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
08078;4;1;;;2;;;;;;;;;4;PEUGOET;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08078;4;2;;;2;;;;;;;;;4;PEUGOET;;4;0;1;2;1;1;150;3000;;;;;;;;;;;;150;;;;3000;;
08082;2;1;2;1;;;3;3;1;7;2;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
08084;6;1;;;1;;;;;;;;;1;KTM 690?DUK;;2;0;1;2;1;2;;999999;;;;;;;;;;;;;;;;2500;;
08085;1;1;1;1;;;2;1;2;9;2;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;
08092;2;1;4;0;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
08097;4;1;3;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
08100;6;1;2;1;;;3;4;1;7;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
08102;1;1;3;1;1;;1;3;1;7;2;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;
08102;1;2;3;1;1;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08106;5;1;2;0;1;;;;;;;;;1;FZ8 2012 YAMAHA;;1;50;1;3;2;2;;4600;;;;;;;;;;;50;;;;;4600;;
08107;2;1;2;0;1;;;;;;;;;1;SUZUKI 1100;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08113;4;1;1;1;;;3;3;1;4;2;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;
08114;3;1;4;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
08117;2;1;1;1;;;3;2;1;8;2;;490;;;;;;;;;;;;;;;;;;;;;;;;;;;;490;
08130;4;1;4;0;1;1;;;;;;;;1;HONDA 125;HONDA 125;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08130;4;2;4;0;1;1;;;;;;;;;;;;;;;;;;;5;TRIKE;2;;1;3;2;2;;5000;;;;;;;;5000
08135;1;1;;;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
08140;1;1;6;1;1;;1;6;1;7;2;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;
08140;1;2;6;1;1;;;;;;;;;1;MOTO KAWASAKI;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08152;2;1;2;2;;;1;3;1;7;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
08152;2;2;2;2;;;3;1;1;7;2;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;
08154;3;1;5;1;;;3;6;1;8;2;;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;190;
08161;4;1;4;1;;;2;2;2;9;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
08169;6;1;1;0;;1;;;;;;;;;;;;;;;;;;;5;TRACTEUR;1;200;2;;;;;;;;;200;;;;
08172;4;1;4;0;1;;;;;;;;;1;HONDA 125 CBF;;3;0;1;3;2;2;;1000;;;;;;;;;;;;;;;;1000;;
08190;3;1;;;1;;;;;;;;;4;OVETTO;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08194;2;1;1;0;1;;;;;;;;;4;SCOOTER MASH;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08199;3;1;;;1;;;;;;;;;1;50 BETA;;4;999999;2;;;;;;;;;;;;;;;;120;;;;;;;
08206;2;1;2;0;1;;;;;;;;;1;600 BANDIT;SUZUKI  600;2;100;2;;;;;;;;;;;;;;;;100;;;;;;;
08208;6;1;3;1;;;4;1;1;7;2;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;280;
08213;4;1;;;1;;;;;;;;;1;125;125 - NON SPECIFIE;2;0;1;3;2;2;;300;;;;;;;;;;;;;;;;300;;
08214;1;1;;;1;;;;;;;;;3;PEUGEOT 104;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08215;2;1;;;1;;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;3;140;2;;;;;;;;;;;;;;;;140;;;;;;;
08218;4;1;2;0;1;;;;;;;;;4;PIAGGIO;PIAGGIO - NON SPECIFIE;2;500;2;;;;;;;;;;;;;;;;500;;;;;;;
08227;6;1;1;1;;;4;1;1;7;2;;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;230;
08229;1;1;3;1;;;3;4;1;7;2;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;
08234;4;1;4;0;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08258;1;1;4;2;;;1;4;2;3;2;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;
08258;1;2;4;2;;;2;2;1;7;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
08268;3;1;3;1;1;;2;1;1;8;2;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;
08268;3;2;3;1;1;;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08272;4;1;3;0;2;;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08272;4;2;3;0;2;;;;;;;;;4;YAMAHA;YAMAHA - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08281;1;1;6;1;;;1;1;2;9;2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;
08283;2;1;1;1;;;1;3;1;7;2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;
08302;3;1;4;1;;1;2;1;2;9;2;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
08302;3;2;4;1;;1;;;;;;;;;;;;;;;;;;;2;;2;;1;2;2;2;;28000;;;;;;;;28000
08311;1;1;2;0;1;;;;;;;;;1;BMW K 750;;1;1000;2;;;;;;;;;;;;;;;;1000;;;;;;;
08318;6;1;;;1;;;;;;;;;4;SCOOTER;NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08319;2;1;4;2;;;1;3;1;7;2;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
08319;2;2;4;2;;;2;1;1;8;2;;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;1600;
08329;3;1;2;0;;2;;;;;;;;;;;;;;;;;;;5;CAMION;1;0;2;;;;;;;;;;;;;
08329;3;2;2;0;;2;;;;;;;;;;;;;;;;;;;5;QUAD;2;;2;;;;;;;;;;;;;
08335;6;1;3;1;;;2;2;2;3;2;;999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000;
08341;3;1;2;1;;;1;4;1;7;2;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;
08342;3;1;2;1;;;2;4;1;7;2;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
08363;6;1;3;0;2;;;;;;;;;1;MOTGUZZI;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08363;6;2;3;0;2;;;;;;;;;4;LAMBERETTA;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08371;1;1;;;1;;;;;;;;;1;MOTO DUCATI;DUCATI - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08375;6;1;3;3;;;1;3;1;7;2;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;360;
08375;6;2;3;3;;;1;4;1;7;2;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;
08375;6;3;3;3;;;1;5;1;7;2;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;
08378;3;1;3;1;1;;1;3;1;3;2;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;
08378;3;2;3;1;1;;;;;;;;;5;QUAD;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08379;4;1;1;1;;;2;1;1;4;2;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;159;
08380;2;1;2;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
08381;4;1;2;2;;;1;3;1;7;2;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
08381;4;2;2;2;;;1;4;1;7;2;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;
08389;4;1;;;1;;;;;;;;;4;YAMAHA;YAMAHA - NON SPECIFIE;3;0;1;2;1;2;;3300;;;;;;;;;;;;;;;;3300;;
08399;4;1;2;2;1;;1;3;1;4;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
08399;4;2;2;2;1;;1;4;1;4;2;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;
08399;4;3;2;2;1;;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;4;999999;2;;;;;;;;;;;;;;;;525;;;;;;;
08408;6;1;;;1;;;;;;;;;4;GILERA;GILERA - NON SPECIFIE;4;50;2;;;;;;;;;;;;;;;;50;;;;;;;
08410;4;1;1;0;1;;;;;;;;;1;YAMAHA DTR;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08414;1;1;4;0;1;;;;;;;;;1;SUSUKI;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08425;3;1;3;0;3;;;;;;;;;1;CAGIVA SUPERCITY;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08425;3;2;3;0;3;;;;;;;;;1;HONDA XT;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08425;3;3;3;0;3;;;;;;;;;1;YAMAHA TZR;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08426;2;1;8;1;;1;2;1;1;2;2;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;
08426;2;2;8;1;;1;;;;;;;;;;;;;;;;;;;3;;1;720;2;;;;;;;;;720;;;;
08438;5;1;;;1;;;;;;;;;4;PEUGEOT VIVACITY;PEUGEOT - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08447;6;1;2;0;1;;;;;;;;;3;MOTOBECANE;MOTOBECANE - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08454;1;1;1;0;1;;;;;;;;;4;PIAGIO;;3;0;1;2;1;2;;1790;;;;;;;;;;;;;;;;1790;;
08459;5;1;4;1;;;3;2;1;3;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
08461;5;1;1;1;;;3;1;1;4;2;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;
08472;5;1;3;1;;;1;3;1;4;2;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;
08473;4;1;;;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;3;0;1;3;2;2;;1200;;;;;;;;;;;;;;;;1200;;
08476;4;1;2;0;1;;;;;;;;;1;KAWASAKY 900;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08479;3;1;4;1;;;5;1;1;8;2;;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;2500;
08480;2;1;6;1;1;;3;2;1;8;2;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;
08480;2;2;6;1;1;;;;;;;;;1;HARLEY DAVIDSON;HARLEY-DAVIDSON;1;150;2;;;;;;;;;;;;;;;;150;;;;;;;
08483;1;1;4;2;;;3;4;1;7;2;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
08483;1;2;4;2;;;3;5;1;7;2;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
08486;1;1;4;1;;;1;4;1;7;2;;203;;;;;;;;;;;;;;;;;;;;;;;;;;;;203;
08488;6;1;;;1;;;;;;;;;1;TRIOMPH;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08490;4;1;1;0;1;;;;;;;;;4;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08491;5;1;4;0;1;;;;;;;;;1;ONDA;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08496;3;1;;;1;;;;;;;;;4;MOTO YAMAHA;YAMAHA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08500;5;1;2;0;1;;;;;;;;;4;SCOOTER YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08501;6;1;4;0;1;;;;;;;;;4;SUSUKI 125;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
08508;2;1;2;1;;;3;1;1;7;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
08509;3;1;4;2;;;1;4;1;7;2;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;
08509;3;2;4;2;;;1;5;1;7;2;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;
08516;1;1;4;0;1;;;;;;;;;1;YAMAHA TDM 850;YAMAHA 850;1;100;2;;;;;;;;;;;;;;;;100;;;;;;;
08517;1;1;3;1;;;3;1;1;7;2;;399;;;;;;;;;;;;;;;;;;;;;;;;;;;;399;
08518;2;1;2;0;1;;;;;;;;;1;MOTO CROSS;;3;0;1;3;2;2;;1300;;;;;;;;;;;;;;;;1300;;
08519;1;1;7;1;;;5;4;2;8;2;;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;800;
08520;1;1;1;0;1;;;;;;;;;3;PEUGEOT;PEUGEOT - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08530;6;1;2;0;1;;;;;;;;;4;VESPA;VESPA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08531;2;1;;;1;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;3;70;2;;;;;;;;;;;;;;;;70;;;;;;;
08556;6;1;2;1;;;7;2;1;4;2;;543;;;;;;;;;;;;;;;;;;;;;;;;;;;;543;
08557;3;1;2;0;1;;;;;;;;;4;REVOTTO;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
08563;5;1;2;1;;;1;3;1;4;2;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;
08568;2;1;;;1;;;;;;;;;4;SCOOTER;NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08572;2;1;2;2;;;1;3;2;3;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
08572;2;2;2;2;;;1;4;1;6;2;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;
08577;1;1;3;0;1;;;;;;;;;4;PIAGGO X EVO;PIAGGIO - NON SPECIFIE;2;600;2;;;;;;;;;;;;;;;;600;;;;;;;
08579;3;1;3;1;;;1;3;1;8;2;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;
08581;6;1;1;1;;;6;3;1;7;2;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
08590;1;1;3;1;;;3;4;2;3;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
08596;2;1;4;1;;;3;2;1;3;2;;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;220;
08606;3;1;3;1;;;2;2;1;8;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
08607;1;1;4;0;1;;;;;;;;;1;PEUGEOT SATELLIS;;2;80;2;;;;;;;;;;;;;;;;80;;;;;;;
08609;6;1;2;1;;;1;5;1;7;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
08610;5;1;8;0;4;1;;;;;;;;1;BMW R75 SUR 5;;2;250;2;;;;;;;;;;;;;;;;250;;;;;;;
08610;5;2;8;0;4;1;;;;;;;;1;HONDA PAN EUROPEENNE 1300;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08610;5;3;8;0;4;1;;;;;;;;3;MOTOBECANE AU42S;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08610;5;4;8;0;4;1;;;;;;;;4;MOTOBECANE MOBY;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
08610;5;5;8;0;4;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
08632;5;1;1;0;1;;;;;;;;;1;HARLEY;HARLEY-DAVIDSON;1;300;2;;;;;;;;;;;;;;;;300;;;;;;;
08649;4;1;2;0;1;;;;;;;;;1;KAWASAKI Z750;KAWASAKI 750;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
08651;3;1;4;1;;;6;4;1;4;2;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;
08652;1;1;2;2;;;1;3;1;7;2;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;
08652;1;2;2;2;;;1;5;1;7;2;;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;
08660;2;1;7;1;;;5;2;2;10;2;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;
08661;2;1;1;0;1;;;;;;;;;4;SCOOTER SYM;SYM - NON SPECIFIE;3;0;1;2;1;2;;4000;;;;;;;;;;;;;;;;4000;;
08686;2;1;1;1;;;4;1;1;8;2;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;
