IDENT_MEN;numordre;NBH1;Hodcharg;Hodaid;Hodsex;Hodan;HODLN01;HODLN02;HODLN03;HODLN04;HODLN05;HODLN06;HODLN07;HODLN08;HODLN09;HODLN10;HODLN11;HODLN12;HODLN13;HODLN14;HODLN15;HODLN16;HODLN17;HODLN18;HODLN19;HODLN20;HodFra;HodMat;Hodco;Hodenf;Hodetu;Hodocc;Hodniv;Hodtra;HodcsA;HodcsE;vag;HODRES7
00263;21;3;2;1;1;1977;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;4;;;4;5;
00275;1;3;1;2;1;1984;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;1;2;8;2;;;5;
00278;1;1;1;2;1;1998;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;3;7;2;;;3;7
00285;21;5;2;1;1;1971;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;1;1;3;;;6;2;
00285;22;5;2;1;2;1990;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;2;;;2;
00285;23;5;2;1;2;1974;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;1;6;4;2;;;2;
00285;24;5;2;1;2;1979;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;7;4;2;;;2;
00285;25;5;2;1;1;1978;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;1;1;5;;;5;2;
00318;1;2;1;2;1;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;;3;3;2;;;5;
00318;2;2;1;2;1;2007;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;3;;;;2;;;;5;
00327;1;1;1;2;2;1996;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;7;2;;;1;
00329;1;3;1;2;1;1994;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;3;8;2;;;5;7
00342;1;2;1;2;2;2001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;;3;4;2;;;3;
