division,annee,mois,indice
alimentation,1990,1,67.57
alimentation,1990,2,67.72
alimentation,1990,3,67.72
alimentation,1990,4,68.57
alimentation,1990,5,68.57
alimentation,1990,6,68.09
alimentation,1990,7,67.64
alimentation,1990,8,68.07
alimentation,1990,9,68.53
alimentation,1990,10,68.57
alimentation,1990,11,68.46
alimentation,1990,12,68.34
alimentation,1991,1,68.97
alimentation,1991,2,69.16
alimentation,1991,3,69.57
alimentation,1991,4,70.04
alimentation,1991,5,70.35
alimentation,1991,6,70.51
alimentation,1991,7,70.65
alimentation,1991,8,70.35
alimentation,1991,9,70.21
alimentation,1991,10,70.98
alimentation,1991,11,71.47
alimentation,1991,12,70.2
alimentation,1992,1,70.69
alimentation,1992,2,70.91
alimentation,1992,3,71.13
alimentation,1992,4,71.39
alimentation,1992,5,71.68
alimentation,1992,6,71.02
alimentation,1992,7,70.34
alimentation,1992,8,69.72
alimentation,1992,9,70.09
alimentation,1992,10,70.53
alimentation,1992,11,70.59
alimentation,1992,12,70.19
alimentation,1993,1,70.8
alimentation,1993,2,70.5
alimentation,1993,3,71.15
alimentation,1993,4,71.06
alimentation,1993,5,71.17
alimentation,1993,6,70.66
alimentation,1993,7,70.52
alimentation,1993,8,69.88
alimentation,1993,9,70.15
alimentation,1993,10,70.4
alimentation,1993,11,70.7
alimentation,1993,12,70.49
alimentation,1994,1,70.44
alimentation,1994,2,70.59
alimentation,1994,3,70.67
alimentation,1994,4,71.16
alimentation,1994,5,71.69
alimentation,1994,6,71.48
alimentation,1994,7,71.35
alimentation,1994,8,70.93
alimentation,1994,9,71.39
alimentation,1994,10,71.94
alimentation,1994,11,71.52
alimentation,1994,12,71.17
alimentation,1995,1,71.94
alimentation,1995,2,71.94
alimentation,1995,3,72.13
alimentation,1995,4,72.26
alimentation,1995,5,72.58
alimentation,1995,6,72.43
alimentation,1995,7,72.09
alimentation,1995,8,71.74
alimentation,1995,9,71.75
alimentation,1995,10,71.81
alimentation,1995,11,72.09
alimentation,1995,12,72.22
alimentation,1996,1,72.51
alimentation,1996,2,72.66
alimentation,1996,3,73.32
alimentation,1996,4,73.27
alimentation,1996,5,73.73
alimentation,1996,6,73.37
alimentation,1996,7,73.26
alimentation,1996,8,72.37
alimentation,1996,9,72.53
alimentation,1996,10,72.64
alimentation,1996,11,72.95
alimentation,1996,12,73.2
alimentation,1997,1,74.36
alimentation,1997,2,73.77
alimentation,1997,3,73.44
alimentation,1997,4,73.63
alimentation,1997,5,74.2
alimentation,1997,6,74.21
alimentation,1997,7,74.41
alimentation,1997,8,74.26
alimentation,1997,9,74.5
alimentation,1997,10,74.68
alimentation,1997,11,75.15
alimentation,1997,12,75.03
alimentation,1998,1,75.03
alimentation,1998,2,75.05
alimentation,1998,3,75.16
alimentation,1998,4,75.63
alimentation,1998,5,76.01
alimentation,1998,6,76.31
alimentation,1998,7,75.92
alimentation,1998,8,75.49
alimentation,1998,9,75.42
alimentation,1998,10,75.23
alimentation,1998,11,75.42
alimentation,1998,12,75.61
alimentation,1999,1,76.07
alimentation,1999,2,75.99
alimentation,1999,3,76.14
alimentation,1999,4,76.25
alimentation,1999,5,76.46
alimentation,1999,6,76.34
alimentation,1999,7,75.82
alimentation,1999,8,75.21
alimentation,1999,9,75.34
alimentation,1999,10,75.72
alimentation,1999,11,76.08
alimentation,1999,12,76.39
alimentation,2000,1,76.57
alimentation,2000,2,76.84
alimentation,2000,3,76.84
alimentation,2000,4,77.41
alimentation,2000,5,77.73
alimentation,2000,6,77.74
alimentation,2000,7,77.57
alimentation,2000,8,77.5
alimentation,2000,9,77.7
alimentation,2000,10,77.96
alimentation,2000,11,78.49
alimentation,2000,12,78.56
alimentation,2001,1,79.07
alimentation,2001,2,79.37
alimentation,2001,3,80.29
alimentation,2001,4,81.08
alimentation,2001,5,82.46
alimentation,2001,6,82.52
alimentation,2001,7,82.62
alimentation,2001,8,81.9
alimentation,2001,9,82.01
alimentation,2001,10,82.29
alimentation,2001,11,82.1
alimentation,2001,12,82.39
alimentation,2002,1,83.85
alimentation,2002,2,83.64
alimentation,2002,3,83.68
alimentation,2002,4,83.76
alimentation,2002,5,83.99
alimentation,2002,6,83.97
alimentation,2002,7,83.51
alimentation,2002,8,83.09
alimentation,2002,9,83.2
alimentation,2002,10,83.42
alimentation,2002,11,83.45
alimentation,2002,12,83.56
alimentation,2003,1,84.31
alimentation,2003,2,84.67
alimentation,2003,3,85.04
alimentation,2003,4,85.36
alimentation,2003,5,85.35
alimentation,2003,6,86.06
alimentation,2003,7,85.74
alimentation,2003,8,85.6
alimentation,2003,9,86.26
alimentation,2003,10,85.92
alimentation,2003,11,85.82
alimentation,2003,12,85.56
alimentation,2004,1,86.07
alimentation,2004,2,85.72
alimentation,2004,3,86.26
alimentation,2004,4,86.64
alimentation,2004,5,86.87
alimentation,2004,6,87.27
alimentation,2004,7,86.4
alimentation,2004,8,85.13
alimentation,2004,9,85.25
alimentation,2004,10,85.26
alimentation,2004,11,85.43
alimentation,2004,12,85.64
alimentation,2005,1,85.64
alimentation,2005,2,86.09
alimentation,2005,3,86.83
alimentation,2005,4,86.51
alimentation,2005,5,86.85
alimentation,2005,6,86.65
alimentation,2005,7,86.01
alimentation,2005,8,85.41
alimentation,2005,9,85.45
alimentation,2005,10,85.6
alimentation,2005,11,85.89
alimentation,2005,12,86.22
alimentation,2006,1,86.59
alimentation,2006,2,87.0
alimentation,2006,3,87.11
alimentation,2006,4,87.3
alimentation,2006,5,87.88
alimentation,2006,6,87.87
alimentation,2006,7,87.66
alimentation,2006,8,87.28
alimentation,2006,9,87.6
alimentation,2006,10,87.33
alimentation,2006,11,87.87
alimentation,2006,12,87.71
alimentation,2007,1,87.98
alimentation,2007,2,87.63
alimentation,2007,3,87.58
alimentation,2007,4,88.29
alimentation,2007,5,88.69
alimentation,2007,6,89.01
alimentation,2007,7,88.4
alimentation,2007,8,88.29
alimentation,2007,9,88.77
alimentation,2007,10,89.23
alimentation,2007,11,89.83
alimentation,2007,12,90.39
alimentation,2008,1,91.68
alimentation,2008,2,91.86
alimentation,2008,3,92.26
alimentation,2008,4,92.87
alimentation,2008,5,93.77
alimentation,2008,6,93.95
alimentation,2008,7,94.02
alimentation,2008,8,92.91
alimentation,2008,9,92.98
alimentation,2008,10,93.43
alimentation,2008,11,93.27
alimentation,2008,12,93.31
alimentation,2009,1,93.88
alimentation,2009,2,93.92
alimentation,2009,3,93.79
alimentation,2009,4,93.85
alimentation,2009,5,94.13
alimentation,2009,6,93.61
alimentation,2009,7,92.96
alimentation,2009,8,92.28
alimentation,2009,9,92.7
alimentation,2009,10,93.1
alimentation,2009,11,93.16
alimentation,2009,12,93.05
alimentation,2010,1,93.94
alimentation,2010,2,94.01
alimentation,2010,3,94.34
alimentation,2010,4,94.7
alimentation,2010,5,94.95
alimentation,2010,6,94.8
alimentation,2010,7,94.29
alimentation,2010,8,93.46
alimentation,2010,9,93.48
alimentation,2010,10,93.57
alimentation,2010,11,93.99
alimentation,2010,12,94.15
alimentation,2011,1,94.01
alimentation,2011,2,94.3
alimentation,2011,3,95.1
alimentation,2011,4,95.25
alimentation,2011,5,96.21
alimentation,2011,6,96.45
alimentation,2011,7,96.31
alimentation,2011,8,96.16
alimentation,2011,9,96.36
alimentation,2011,10,96.71
alimentation,2011,11,96.98
alimentation,2011,12,97.25
alimentation,2012,1,97.34
alimentation,2012,2,97.89
alimentation,2012,3,98.58
alimentation,2012,4,98.58
alimentation,2012,5,99.14
alimentation,2012,6,99.54
alimentation,2012,7,98.93
alimentation,2012,8,98.45
alimentation,2012,9,98.66
alimentation,2012,10,99.5
alimentation,2012,11,99.51
alimentation,2012,12,99.49
alimentation,2013,1,99.43
alimentation,2013,2,99.52
alimentation,2013,3,100.0
alimentation,2013,4,100.3
alimentation,2013,5,100.92
alimentation,2013,6,101.36
alimentation,2013,7,100.69
alimentation,2013,8,100.25
alimentation,2013,9,99.79
alimentation,2013,10,99.69
alimentation,2013,11,99.78
alimentation,2013,12,99.88
alimentation,2014,1,99.8
alimentation,2014,2,99.67
alimentation,2014,3,99.86
alimentation,2014,4,99.7
alimentation,2014,5,100.03
alimentation,2014,6,99.82
alimentation,2014,7,99.28
alimentation,2014,8,98.75
alimentation,2014,9,99.18
alimentation,2014,10,99.54
alimentation,2014,11,99.53
alimentation,2014,12,99.46
alimentation,2015,1,99.55
alimentation,2015,2,99.74
alimentation,2015,3,99.95
alimentation,2015,4,99.97
alimentation,2015,5,100.42
alimentation,2015,6,100.18
alimentation,2015,7,99.65
alimentation,2015,8,99.56
alimentation,2015,9,100.06
alimentation,2015,10,100.55
alimentation,2015,11,100.34
alimentation,2015,12,100.03
alimentation,2016,1,99.93
alimentation,2016,2,99.9
alimentation,2016,3,100.36
alimentation,2016,4,100.36
alimentation,2016,5,101.39
alimentation,2016,6,100.76
alimentation,2016,7,100.87
alimentation,2016,8,101.04
alimentation,2016,9,100.53
alimentation,2016,10,100.47
alimentation,2016,11,100.62
alimentation,2016,12,100.75
alimentation,2017,1,101.2
alimentation,2017,2,101.46
alimentation,2017,3,101.17
alimentation,2017,4,101.11
alimentation,2017,5,101.84
alimentation,2017,6,101.55
alimentation,2017,7,101.62
alimentation,2017,8,101.67
alimentation,2017,9,101.6
alimentation,2017,10,102.02
alimentation,2017,11,102.12
alimentation,2017,12,102.1
alimentation,2018,1,102.43
alimentation,2018,2,102.29
alimentation,2018,3,102.66
alimentation,2018,4,102.72
alimentation,2018,5,103.64
alimentation,2018,6,103.46
alimentation,2018,7,103.59
alimentation,2018,8,103.88
alimentation,2018,9,104.46
alimentation,2018,10,104.3
alimentation,2018,11,104.11
alimentation,2018,12,104.7
alimentation,2019,1,105.23
alimentation,2019,2,105.41
alimentation,2019,3,105.2
alimentation,2019,4,105.27
alimentation,2019,5,105.99
alimentation,2019,6,106.1
alimentation,2019,7,106.66
alimentation,2019,8,107.15
alimentation,2019,9,106.62
alimentation,2019,10,106.15
alimentation,2019,11,106.28
alimentation,2019,12,106.87
alimentation,2020,1,107.32
alimentation,2020,2,107.29
alimentation,2020,3,107.23
alimentation,2020,4,109.16
alimentation,2020,5,109.7
alimentation,2020,6,108.85
alimentation,2020,7,107.85
alimentation,2020,8,108.08
alimentation,2020,9,107.57
alimentation,2020,10,107.74
alimentation,2020,11,108.41
alimentation,2020,12,107.99
alimentation,2021,1,108.4
alimentation,2021,2,108.19
alimentation,2021,3,108.24
alimentation,2021,4,108.84
alimentation,2021,5,109.41
alimentation,2021,6,108.65
alimentation,2021,7,108.77
alimentation,2021,8,109.48
alimentation,2021,9,108.65
alimentation,2021,10,108.47
alimentation,2021,11,108.9
alimentation,2021,12,109.46
alimentation,2022,1,110.07
alimentation,2022,2,110.45
alimentation,2022,3,111.42
alimentation,2022,4,113.03
alimentation,2022,5,114.11
alimentation,2022,6,114.99
alimentation,2022,7,116.14
alimentation,2022,8,118.09
alimentation,2022,9,119.39
alimentation,2022,10,121.47
alimentation,2022,11,122.1
alimentation,2022,12,122.68
alimentation,2023,1,124.75
alimentation,2023,2,126.85
alimentation,2023,3,129.16
alimentation,2023,4,129.93
alimentation,2023,5,130.38
alimentation,2023,6,130.72
alimentation,2023,7,130.84
alimentation,2023,8,131.29
alimentation,2023,9,130.92
alimentation,2023,10,130.97
alimentation,2023,11,131.47
alimentation,2023,12,131.52
alimentation,2024,1,131.81
alimentation,2024,2,131.39
alimentation,2024,3,131.38
alimentation,2024,4,131.51
alimentation,2024,5,132.02
alimentation,2024,6,131.79
alimentation,2024,7,131.52
alimentation,2024,8,131.94
alimentation,2024,9,131.52
alimentation,2024,10,131.78
alimentation,2024,11,131.72
alimentation,2024,12,131.54
alimentation,2025,1,131.94
alimentation,2025,2,131.84
alimentation,2025,3,132.19
alimentation,2025,4,133.14
alimentation,2025,5,133.75
alimentation,2025,6,133.59
alimentation,2025,7,133.64
alimentation,2025,8,134.05
alimentation,2025,9,133.79
alimentation,2025,10,133.48
alimentation,2025,11,133.51
alimentation,2025,12,133.75
energie,1990,1,52.06
energie,1990,2,51.83
energie,1990,3,51.69
energie,1990,4,51.55
energie,1990,5,51.49
energie,1990,6,51.25
energie,1990,7,51.27
energie,1990,8,53.7
energie,1990,9,56.48
energie,1990,10,57.66
energie,1990,11,56.01
energie,1990,12,54.96
energie,1991,1,55.1
energie,1991,2,54.81
energie,1991,3,53.86
energie,1991,4,53.62
energie,1991,5,53.9
energie,1991,6,54.1
energie,1991,7,54.33
energie,1991,8,54.72
energie,1991,9,54.79
energie,1991,10,54.79
energie,1991,11,55.09
energie,1991,12,54.57
energie,1992,1,53.91
energie,1992,2,53.95
energie,1992,3,53.94
energie,1992,4,53.83
energie,1992,5,53.9
energie,1992,6,53.98
energie,1992,7,53.92
energie,1992,8,53.68
energie,1992,9,53.38
energie,1992,10,53.53
energie,1992,11,53.65
energie,1992,12,53.58
energie,1993,1,53.62
energie,1993,2,53.86
energie,1993,3,54.14
energie,1993,4,54.22
energie,1993,5,54.25
energie,1993,6,54.13
energie,1993,7,55.15
energie,1993,8,55.64
energie,1993,9,55.73
energie,1993,10,55.77
energie,1993,11,55.81
energie,1993,12,55.6
energie,1994,1,55.62
energie,1994,2,55.73
energie,1994,3,55.62
energie,1994,4,55.7
energie,1994,5,55.76
energie,1994,6,55.7
energie,1994,7,55.56
energie,1994,8,55.84
energie,1994,9,55.66
energie,1994,10,55.55
energie,1994,11,55.6
energie,1994,12,55.52
energie,1995,1,56.19
energie,1995,2,56.56
energie,1995,3,56.41
energie,1995,4,56.45
energie,1995,5,56.61
energie,1995,6,56.6
energie,1995,7,56.29
energie,1995,8,56.98
energie,1995,9,57.24
energie,1995,10,57.18
energie,1995,11,57.21
energie,1995,12,57.48
energie,1996,1,58.21
energie,1996,2,58.6
energie,1996,3,58.99
energie,1996,4,59.53
energie,1996,5,59.61
energie,1996,6,59.18
energie,1996,7,59.07
energie,1996,8,59.07
energie,1996,9,59.91
energie,1996,10,60.84
energie,1996,11,61.08
energie,1996,12,61.29
energie,1997,1,61.77
energie,1997,2,61.71
energie,1997,3,61.26
energie,1997,4,60.77
energie,1997,5,60.49
energie,1997,6,60.3
energie,1997,7,60.07
energie,1997,8,60.8
energie,1997,9,60.76
energie,1997,10,60.88
energie,1997,11,61.29
energie,1997,12,61.13
energie,1998,1,60.87
energie,1998,2,60.7
energie,1998,3,60.21
energie,1998,4,60.08
energie,1998,5,59.31
energie,1998,6,58.84
energie,1998,7,58.58
energie,1998,8,58.3
energie,1998,9,58.28
energie,1998,10,58.42
energie,1998,11,58.11
energie,1998,12,57.92
energie,1999,1,57.37
energie,1999,2,57.32
energie,1999,3,57.67
energie,1999,4,58.68
energie,1999,5,58.32
energie,1999,6,58.18
energie,1999,7,58.94
energie,1999,8,59.9
energie,1999,9,60.64
energie,1999,10,61.12
energie,1999,11,61.47
energie,1999,12,63.46
energie,2000,1,64.19
energie,2000,2,64.71
energie,2000,3,65.84
energie,2000,4,65.06
energie,2000,5,65.71
energie,2000,6,66.85
energie,2000,7,67.26
energie,2000,8,67.19
energie,2000,9,70.26
energie,2000,10,68.66
energie,2000,11,69.64
energie,2000,12,68.4
energie,2001,1,65.1
energie,2001,2,65.58
energie,2001,3,65.38
energie,2001,4,66.07
energie,2001,5,68.12
energie,2001,6,68.05
energie,2001,7,66.76
energie,2001,8,65.69
energie,2001,9,66.25
energie,2001,10,65.41
energie,2001,11,64.36
energie,2001,12,63.26
energie,2002,1,63.25
energie,2002,2,63.25
energie,2002,3,63.83
energie,2002,4,65.34
energie,2002,5,64.98
energie,2002,6,64.25
energie,2002,7,63.87
energie,2002,8,64.79
energie,2002,9,65.71
energie,2002,10,66.26
energie,2002,11,65.62
energie,2002,12,65.69
energie,2003,1,67.1
energie,2003,2,68.52
energie,2003,3,69.61
energie,2003,4,66.76
energie,2003,5,64.94
energie,2003,6,64.58
energie,2003,7,65.26
energie,2003,8,65.81
energie,2003,9,65.99
energie,2003,10,66.03
energie,2003,11,65.72
energie,2003,12,65.63
energie,2004,1,66.33
energie,2004,2,66.09
energie,2004,3,67.31
energie,2004,4,67.77
energie,2004,5,69.74
energie,2004,6,69.04
energie,2004,7,69.14
energie,2004,8,70.64
energie,2004,9,70.78
energie,2004,10,73.01
energie,2004,11,73.21
energie,2004,12,72.33
energie,2005,1,71.02
energie,2005,2,72.16
energie,2005,3,74.02
energie,2005,4,75.32
energie,2005,5,74.31
energie,2005,6,75.67
energie,2005,7,77.79
energie,2005,8,78.85
energie,2005,9,81.55
energie,2005,10,81.67
energie,2005,11,79.36
energie,2005,12,78.25
energie,2006,1,79.6
energie,2006,2,79.89
energie,2006,3,80.28
energie,2006,4,82.23
energie,2006,5,83.9
energie,2006,6,83.33
energie,2006,7,84.04
energie,2006,8,84.51
energie,2006,9,82.33
energie,2006,10,79.93
energie,2006,11,79.51
energie,2006,12,79.58
energie,2007,1,79.03
energie,2007,2,79.2
energie,2007,3,80.43
energie,2007,4,81.74
energie,2007,5,82.67
energie,2007,6,83.1
energie,2007,7,83.43
energie,2007,8,82.98
energie,2007,9,83.51
energie,2007,10,84.1
energie,2007,11,87.59
energie,2007,12,88.04
energie,2008,1,88.75
energie,2008,2,88.25
energie,2008,3,90.62
energie,2008,4,91.57
energie,2008,5,95.37
energie,2008,6,98.72
energie,2008,7,98.9
energie,2008,8,95.68
energie,2008,9,95.35
energie,2008,10,91.78
energie,2008,11,86.74
energie,2008,12,81.86
energie,2009,1,80.08
energie,2009,2,80.52
energie,2009,3,78.91
energie,2009,4,78.9
energie,2009,5,79.05
energie,2009,6,81.55
energie,2009,7,80.77
energie,2009,8,82.3
energie,2009,9,81.69
energie,2009,10,81.5
energie,2009,11,83.08
energie,2009,12,82.77
energie,2010,1,84.9
energie,2010,2,84.91
energie,2010,3,86.68
energie,2010,4,89.04
energie,2010,5,89.81
energie,2010,6,89.23
energie,2010,7,89.24
energie,2010,8,89.23
energie,2010,9,89.69
energie,2010,10,90.53
energie,2010,11,91.4
energie,2010,12,93.15
energie,2011,1,96.56
energie,2011,2,97.61
energie,2011,3,99.98
energie,2011,4,101.24
energie,2011,5,99.97
energie,2011,6,99.46
energie,2011,7,99.45
energie,2011,8,99.85
energie,2011,9,100.56
energie,2011,10,100.69
energie,2011,11,101.87
energie,2011,12,101.79
energie,2012,1,104.18
energie,2012,2,105.26
energie,2012,3,106.47
energie,2012,4,106.61
energie,2012,5,104.97
energie,2012,6,102.78
energie,2012,7,103.02
energie,2012,8,106.72
energie,2012,9,106.41
energie,2012,10,105.85
energie,2012,11,104.61
energie,2012,12,104.4
energie,2013,1,106.25
energie,2013,2,107.8
energie,2013,3,107.59
energie,2013,4,106.4
energie,2013,5,104.53
energie,2013,6,104.55
energie,2013,7,104.88
energie,2013,8,106.37
energie,2013,9,107.2
energie,2013,10,105.39
energie,2013,11,104.73
energie,2013,12,105.5
energie,2014,1,106.39
energie,2014,2,106.53
energie,2014,3,105.86
energie,2014,4,105.69
energie,2014,5,105.63
energie,2014,6,105.58
energie,2014,7,105.65
energie,2014,8,104.79
energie,2014,9,104.56
energie,2014,10,104.16
energie,2014,11,103.56
energie,2014,12,100.9
energie,2015,1,98.81
energie,2015,2,100.91
energie,2015,3,101.91
energie,2015,4,102.11
energie,2015,5,103.09
energie,2015,6,102.6
energie,2015,7,101.37
energie,2015,8,99.47
energie,2015,9,98.43
energie,2015,10,97.81
energie,2015,11,97.35
energie,2015,12,96.15
energie,2016,1,95.02
energie,2016,2,94.06
energie,2016,3,94.89
energie,2016,4,95.18
energie,2016,5,97.24
energie,2016,6,99.39
energie,2016,7,98.07
energie,2016,8,96.5
energie,2016,9,97.31
energie,2016,10,98.53
energie,2016,11,99.42
energie,2016,12,100.3
energie,2017,1,104.8
energie,2017,2,104.79
energie,2017,3,104.27
energie,2017,4,103.99
energie,2017,5,102.42
energie,2017,6,101.27
energie,2017,7,99.95
energie,2017,8,101.15
energie,2017,9,102.23
energie,2017,10,103.22
energie,2017,11,104.83
energie,2017,12,105.33
energie,2018,1,110.26
energie,2018,2,110.27
energie,2018,3,109.5
energie,2018,4,110.54
energie,2018,5,112.71
energie,2018,6,113.68
energie,2018,7,114.23
energie,2018,8,114.26
energie,2018,9,115.32
energie,2018,10,117.42
energie,2018,11,116.58
energie,2018,12,113.77
energie,2019,1,112.35
energie,2019,2,113.85
energie,2019,3,115.12
energie,2019,4,115.85
energie,2019,5,116.56
energie,2019,6,116.39
energie,2019,7,115.13
energie,2019,8,115.12
energie,2019,9,115.51
energie,2019,10,115.52
energie,2019,11,115.84
energie,2019,12,116.76
energie,2020,1,117.35
energie,2020,2,115.06
energie,2020,3,110.55
energie,2020,4,105.94
energie,2020,5,103.73
energie,2020,6,105.59
energie,2020,7,106.62
energie,2020,8,106.98
energie,2020,9,106.26
energie,2020,10,106.5
energie,2020,11,106.84
energie,2020,12,108.64
energie,2021,1,110.49
energie,2021,2,113.24
energie,2021,3,115.73
energie,2021,4,115.23
energie,2021,5,115.86
energie,2021,6,117.15
energie,2021,7,119.77
energie,2021,8,120.52
energie,2021,9,122.14
energie,2021,10,128.0
energie,2021,11,129.93
energie,2021,12,128.74
energie,2022,1,132.43
energie,2022,2,137.19
energie,2022,3,149.55
energie,2022,4,145.77
energie,2022,5,148.11
energie,2022,6,155.87
energie,2022,7,153.9
energie,2022,8,147.93
energie,2022,9,144.03
energie,2022,10,152.44
energie,2022,11,153.78
energie,2022,12,148.24
energie,2023,1,153.95
energie,2023,2,156.47
energie,2023,3,156.86
energie,2023,4,155.72
energie,2023,5,151.08
energie,2023,6,151.19
energie,2023,7,148.2
energie,2023,8,157.99
energie,2023,9,161.12
energie,2023,10,160.3
energie,2023,11,158.53
energie,2023,12,156.66
energie,2024,1,156.88
energie,2024,2,163.27
energie,2024,3,162.13
energie,2024,4,161.64
energie,2024,5,159.76
energie,2024,6,158.52
energie,2024,7,160.76
energie,2024,8,158.69
energie,2024,9,155.79
energie,2024,10,157.1
energie,2024,11,157.48
energie,2024,12,158.6
energie,2025,1,161.19
energie,2025,2,153.79
energie,2025,3,151.51
energie,2025,4,149.08
energie,2025,5,146.97
energie,2025,6,147.89
energie,2025,7,149.15
energie,2025,8,148.83
energie,2025,9,148.86
energie,2025,10,148.25
energie,2025,11,150.23
energie,2025,12,147.78
produits_manufactures,1990,1,91.96
produits_manufactures,1990,2,92.13
produits_manufactures,1990,3,92.54
produits_manufactures,1990,4,92.74
produits_manufactures,1990,5,92.91
produits_manufactures,1990,6,93.05
produits_manufactures,1990,7,93.26
produits_manufactures,1990,8,93.36
produits_manufactures,1990,9,93.35
produits_manufactures,1990,10,93.49
produits_manufactures,1990,11,93.69
produits_manufactures,1990,12,93.87
produits_manufactures,1991,1,94.32
produits_manufactures,1991,2,94.62
produits_manufactures,1991,3,94.86
produits_manufactures,1991,4,95.05
produits_manufactures,1991,5,95.27
produits_manufactures,1991,6,95.41
produits_manufactures,1991,7,95.64
produits_manufactures,1991,8,95.77
produits_manufactures,1991,9,95.95
produits_manufactures,1991,10,96.21
produits_manufactures,1991,11,96.4
produits_manufactures,1991,12,96.61
produits_manufactures,1992,1,96.51
produits_manufactures,1992,2,97.02
produits_manufactures,1992,3,97.47
produits_manufactures,1992,4,97.31
produits_manufactures,1992,5,97.32
produits_manufactures,1992,6,97.31
produits_manufactures,1992,7,97.28
produits_manufactures,1992,8,97.46
produits_manufactures,1992,9,97.87
produits_manufactures,1992,10,97.96
produits_manufactures,1992,11,97.93
produits_manufactures,1992,12,97.95
produits_manufactures,1993,1,97.83
produits_manufactures,1993,2,98.3
produits_manufactures,1993,3,98.87
produits_manufactures,1993,4,98.92
produits_manufactures,1993,5,98.9
produits_manufactures,1993,6,98.83
produits_manufactures,1993,7,98.41
produits_manufactures,1993,8,98.62
produits_manufactures,1993,9,99.01
produits_manufactures,1993,10,99.13
produits_manufactures,1993,11,99.0
produits_manufactures,1993,12,99.05
produits_manufactures,1994,1,98.62
produits_manufactures,1994,2,98.72
produits_manufactures,1994,3,99.19
produits_manufactures,1994,4,99.28
produits_manufactures,1994,5,99.34
produits_manufactures,1994,6,99.25
produits_manufactures,1994,7,98.9
produits_manufactures,1994,8,99.02
produits_manufactures,1994,9,99.45
produits_manufactures,1994,10,99.49
produits_manufactures,1994,11,99.36
produits_manufactures,1994,12,99.38
produits_manufactures,1995,1,98.85
produits_manufactures,1995,2,99.25
produits_manufactures,1995,3,99.81
produits_manufactures,1995,4,99.78
produits_manufactures,1995,5,99.78
produits_manufactures,1995,6,99.65
produits_manufactures,1995,7,99.3
produits_manufactures,1995,8,99.91
produits_manufactures,1995,9,100.58
produits_manufactures,1995,10,100.74
produits_manufactures,1995,11,100.71
produits_manufactures,1995,12,100.61
produits_manufactures,1996,1,99.89
produits_manufactures,1996,2,100.38
produits_manufactures,1996,3,101.38
produits_manufactures,1996,4,101.35
produits_manufactures,1996,5,101.34
produits_manufactures,1996,6,101.3
produits_manufactures,1996,7,100.53
produits_manufactures,1996,8,100.75
produits_manufactures,1996,9,101.18
produits_manufactures,1996,10,101.58
produits_manufactures,1996,11,100.98
produits_manufactures,1996,12,100.99
produits_manufactures,1997,1,99.94
produits_manufactures,1997,2,100.84
produits_manufactures,1997,3,101.39
produits_manufactures,1997,4,101.33
produits_manufactures,1997,5,101.19
produits_manufactures,1997,6,101.02
produits_manufactures,1997,7,100.03
produits_manufactures,1997,8,100.58
produits_manufactures,1997,9,101.06
produits_manufactures,1997,10,101.07
produits_manufactures,1997,11,101.02
produits_manufactures,1997,12,101.13
produits_manufactures,1998,1,99.72
produits_manufactures,1998,2,100.66
produits_manufactures,1998,3,101.22
produits_manufactures,1998,4,101.27
produits_manufactures,1998,5,101.19
produits_manufactures,1998,6,101.12
produits_manufactures,1998,7,99.89
