Ratio salaire horaire / Smic,Travailleur non pauvre,Travailleur pauvre
2.2486674408296428,0.03572396580053155,0.33283449331187864
2.254537226448161,0.03525020476311567,0.3297391748652888
2.2604070120666795,0.03479734398217085,0.32670325362726704
2.266276797685198,0.03436440047641642,0.32373035860858523
2.272146583303716,0.03394829789352501,0.32082351019556377
2.2780163689222346,0.03354842263774497,0.31798524576109866
2.283886154540753,0.03316411837192305,0.31521775161636817
2.2897559401592713,0.03279533506973511,0.3125242923545318
2.29562572577779,0.03244381607501603,0.30991726246274687
2.3014955113963085,0.03210515766559192,0.3073874717807721
2.307365297014827,0.031778697534875444,0.30493680124564826
2.313235082633345,0.031463810903146025,0.30256706419859297
2.3191048682518636,0.031159913691462444,0.3002798983568369
2.324974653870382,0.03086872659667537,0.29807663287053027
2.3308444394889003,0.030587893026549264,0.29595813724621045
2.3367142251074187,0.03031644291731136,0.29392745222356537
2.342584010725937,0.030054120631134044,0.2919921614403871
2.348453796344456,0.029800719932049562,0.2901384160787518
2.354323581962974,0.029557130234587923,0.28836285072157397
2.3601933675814926,0.029323675458916787,0.2866610522143822
2.366063153200011,0.029098786130905503,0.28502763895015043
2.3719329388185293,0.02888242603089967,0.28345638194771916
2.3778027244370477,0.02867455701879519,0.2819403626800161
2.383672510055566,0.02847522369903437,0.2804740391175472
2.3895422956740844,0.02828660435167399,0.27905041509555
2.395412081292603,0.028106125956687662,0.2776562362121611
2.4012818669111216,0.027933578587949655,0.276284283551047
2.40715165252964,0.027768701765347636,0.2749277877378536
2.4130214381481583,0.027611183202483756,0.2735804868716491
2.4188912237666766,0.027461864523516243,0.2722366425648027
2.424761009385195,0.02731931987661835,0.2708910164802588
2.4306307950037134,0.027182267095305804,0.2695380129909835
2.4365005806222317,0.02705006416032801,0.2681715144671292
2.4423703662407505,0.026922025792736764,0.26678805938058
2.448240151859269,0.026797616083420434,0.2653834832279461
2.4541099374777873,0.026675908435164094,0.2639536034949163
2.4599797230963056,0.026555379077437963,0.26249422425630553
2.465849508714824,0.026435212585745962,0.261001181511456
2.4717192943333424,0.02631460041367917,0.2594704292058762
2.4775890799518607,0.026192744394090025,0.25789447120408837
2.483458865570379,0.02606796622361229,0.2562689609747054
2.489328651188898,0.025939804735811218,0.2545955791044041
2.4951984368074163,0.025807689675027213,0.2528733972695563
2.5010682224259346,0.025671042769427062,0.2511027218676284
2.506938008044453,0.02552933699115596,0.2492852090769963
2.5128077936629714,0.025381118289955946,0.24742393423971032
2.5186775792814897,0.025225953089418343,0.24552341129771285
2.524547364900008,0.025064368827842985,0.24358729507713162
2.5304171505185264,0.024896182899692663,0.2416261954489258
2.536286936137045,0.024721264458872346,0.2396512991629381
2.5421567217555636,0.02453919575850145,0.23767196821494763
2.548026507374082,0.024348636334092354,0.23569777757537247
2.5538962929926003,0.024151356516400914,0.23373820748248386
2.5597660786111187,0.02394747032656108,0.23180234162480862
2.565635864229637,0.02373711474350667,0.22989857899331642
2.5715056498481554,0.023520447653615294,0.2280396964568276
2.577375435466674,0.023296282705991878,0.22623059793996236
2.583245221085192,0.023065970101670764,0.22447277066394752
2.589115006703711,0.022830080728386767,0.22276848955555148
2.5949847923222293,0.022588811904154786,0.2211185895458793
2.6008545779407477,0.02234235836254521,0.21952254948558
2.606724363559266,0.02209032567851312,0.21797861357058368
2.6125941491777844,0.02183278039622035,0.21648394529975018
2.618463934796303,0.021570749453220125,0.21503987903842475
2.624333720414821,0.021304406847841344,0.2136366979047285
2.6302035060333395,0.021033928579384267,0.2122675743523827
2.6360732916518583,0.020759443453778177,0.21092738745293163
2.6419430772703767,0.02048024194996892,0.20961103780078674
2.647812862888895,0.02019767121709161,0.20831353996289778
2.6536826485074134,0.019911986208885162,0.20703008675578724
2.659552434125932,0.019623468828756065,0.20575608601203008
2.66542221974445,0.01933242945055256,0.20448709250833103
2.6712920053629685,0.019038917969197426,0.20321754639709652
2.677161790981487,0.018743804577345806,0.20194346538507021
2.6830315766000057,0.018447790421834486,0.2006611068453696
2.688901362218524,0.018151417029903246,0.19936686511187604
2.6947711478370424,0.01785526544308607,0.19805729484181597
2.7006409334555608,0.017560125116991048,0.1967291543277219
2.706510719074079,0.017267287642914103,0.19537946931986894
2.7123805046925975,0.0169773097201324,0.1940013182515795
2.718250290311116,0.01669095477407621,0.19259622613672403
2.7241200759296342,0.016408995476283886,0.1911634351044491
2.7299898615481526,0.01613221046076546,0.18970279033991744
2.7358596471666714,0.01586337648351353,0.18821501084619727
2.7417294327851898,0.015601980114344568,0.18670172613983865
2.747599218403708,0.015348542964544996,0.18516548227636026
2.7534690040222265,0.015103669672981596,0.1836096075288443
2.759338789640745,0.014867904800652561,0.18203728498925062
2.7652085752592632,0.01464337488760646,0.18045700178140578
2.7710783608777816,0.014430264396378518,0.17887442256641845
2.7769481464963,0.014227382337545506,0.17729534288374804
2.7828179321148188,0.014034709232837035,0.17572549040670493
2.788687717733337,0.01385211168473764,0.17417033016610947
2.7945575033518555,0.013679819699880186,0.17263487752489212
2.800427288970374,0.013518867358724363,0.17112418591674292
2.806297074588892,0.013366114664976602,0.16964578805258143
2.8121668602074106,0.013220695652803063,0.16819800589263545
2.818036645825929,0.013081636756389035,0.1667815355801782
2.8239064314444473,0.012947859877623492,0.16539584289600026
2.829776217062966,0.012818591758541654,0.1640390850668384
2.8356460026814845,0.012691135875332911,0.16270802794469932
2.841515788300003,0.012563820282738936,0.16139795553272276
2.847385573918521,0.012435156385887481,0.1601027226652639
2.8532553595370396,0.012303634452006742,0.1588119003686917
2.859125145155558,0.012166868625204235,0.15751218394141606
2.8649949307740763,0.012022203201581733,0.15618993244837426
2.8708647163925947,0.011869042597731957,0.15482918816908017
2.8767345020111135,0.011706089620430798,0.15341158832338941
2.882604287629632,0.011532136906936946,0.15191632822513335
2.88847407324815,0.011345849410211224,0.15032018752759158
2.8943438588666686,0.011142398331509637,0.1485886434654456
2.900213644485187,0.010924605719944636,0.14667651901426623
2.9060834301037053,0.010692059539231389,0.14456846605020007
2.9119532157222237,0.010444505920407418,0.14223424698633716
2.917823001340742,0.010181850309342958,0.13964422217987932
2.9236927869592604,0.009901265760364214,0.13677032241372647
2.929562572577779,0.009605027328582401,0.1335870949082443
2.9354323581962976,0.009295262181182724,0.1300728022742888
2.941302143814816,0.008972833556221202,0.12618496126661533
2.9471719294333343,0.008638737931527956,0.12190358969431289
2.9530417150518526,0.008293325417553954,0.11726544256033337
2.958911500670371,0.007937703061811525,0.11228178366599381
2.9647812862888894,0.007575511682258331,0.10697277591986125
2.9706510719074077,0.007208314755426298,0.10136745813365397
2.9765208575259265,0.006837714622510665,0.09550344799180556
2.982390643144445,0.006465345588783496,0.08942636882002199
2.9882604287629633,0.0060936504203357765,0.08318185368649787
2.9941302143814816,0.005724837767829857,0.07684887608339183
3,0.005360446411643201,0.07050432659663276
