IDENT_MEN;VAG;NBVAC;NUMSEJ;Paysej;SITUSJ1;SITUSJ2;SITUSJ3;SITUSJ4;SITUSJ5;Motifsej;QUISEJ01;QUISEJ02;QUISEJ03;QUISEJ04;QUISEJ05;QUISEJ06;QUISEJ07;QUISEJ08;QUISEJ09;QUISEJ10;QUISEJ11;QUISEJ12;QUISEJ13;QUISEJ14;QUISEJ15;QUISEJ16;QUISEJ17;QUISEJ18;QUISEJ19;QUISEJ20;Dursej;Forfait;TYPFORF1;TYPFORF2;TYPFORF3;TYPFORF4;TYPFORF5;TYPFORF6;TYPFORF7;TYPFORF8;Preforf;Mforfait;Trforf;Trans;Mtrans;Trtrans;Heber;Mheber;Trheber;Repas;Mrepas;Trrepas;Alimdo;Malimdo;Tralimdo;Lois;Mlois;Trlois;Aut;Natsej;Maut;Traut;TRSEJOUR;MALIMDO_D;MAUT_D;MFORFAIT_D;MHEBER_D;MLOIS_D;MREPAS_D;MTRANS_D;TRSEJOUR_D
00039;1;1;1;1;0;0;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;2;0;0;0;0;0;0;0;0;;;;1;180;;1;900;;2;;;1;350;;1;150;;2;;;;;350;;;900;150;;180;
00043;1;1;1;1;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;;;;1;110;;2;;;2;;;1;150;;2;;;2;;;;;150;;;;;;110;
00044;5;1;1;3;1;1;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;2;0;0;0;0;0;0;0;0;;;;1;15000;;2;;;1;4500;;1;1500;;1;500;;2;;;;;1500;;;;500;4500;15000;
00045;3;1;1;1;1;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;;;;1;60;;1;350;;1;150;;1;150;;1;100;;1;SOUVENIRS;80;;;150;80;;350;100;150;60;
00046;3;5;1;3;0;0;0;1;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;;;;1;2500;;1;1200;;1;500;;2;;;1;300;;2;;;;;;;;1200;300;500;2500;
00046;3;5;2;3;0;1;1;1;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;9800
00046;3;5;3;3;0;1;0;1;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;3530
00046;3;5;4;3;0;1;1;1;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;17140
00046;3;5;5;3;0;1;1;1;0;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;11;;;;;;;;3530
00047;5;4;1;1;0;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;;;;1;380;;2;;;2;;;2;;;2;;;2;;;;;;;;;;;380;
00047;5;4;2;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;4;;;;;;;;138
00047;5;4;3;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;4;;;;;;;;100
00047;5;4;4;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;4;;;;;;;;138
00049;2;1;1;3;0;0;1;1;0;5;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;25;2;0;0;0;0;0;0;0;0;;;;1;1100;;2;;;2;;;2;;;2;;;2;;;;;;;;;;;1100;
00050;1;1;1;3;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;;999999;7;1;999999;4;2;;;1;200;;1;100;;2;;;2;;;;;100;;850;;;200;330;
00052;5;3;1;1;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;;;;1;999999;1;1;200;;1;999999;1;1;100;;1;200;;1;FROMAGE;20;;;100;20;;200;200;70;50;
00052;5;3;2;3;1;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;7;;;;;;;;500
00052;5;3;3;3;1;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;7;;;;;;;;560
00054;3;1;1;1;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;0;0;0;;;;1;1120;;2;;;1;100;;2;;;2;;;2;;;;;;;;;;100;1120;
00055;2;4;1;3;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;;;;1;600;;2;;;1;999999;2;2;;;1;999999;3;1;PRODUIT ERROIR;25;;;;25;;;300;120;600;
00055;2;4;2;1;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;5;;;;;;;;285
00055;2;4;3;1;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;5;;;;;;;;285
00055;2;4;4;3;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;7;;;;;;;;430
00060;3;1;1;1;1;0;0;0;0;5;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;1;0;1;0;0;0;;800;;2;;;2;;;1;50;;2;;;1;100;;2;;;;;;;800;;100;50;;
00064;6;1;1;3;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;0;0;0;;;;1;490;;2;;;2;;;2;;;1;50;;2;;;;;;;;;50;;490;
00066;2;1;1;1;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;0;0;0;0;;;;1;600;;2;;;2;;;2;;;2;;;1;PRODUITS DU TERROIR;500;;;;500;;;;;600;
00068;3;1;1;1;0;1;0;0;0;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;;;;1;250;;1;350;;1;999999;2;1;999999;3;2;;;2;;;;;210;;;350;;100;250;
00069;3;1;1;1;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;0;0;0;;;;1;340;;2;;;2;;;1;430;;1;9;;1;SOUVENIRS;40;;;430;40;;;9;;340;
00073;3;2;1;3;1;0;0;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;1;1;0;0;0;0;;1200;;1;190;;2;;;1;20;;2;;;2;;;1;CADEAUX;100;;;;100;1200;;;20;190;
00073;3;2;2;1;1;0;0;0;0;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;9;;;;;;;;1070
00074;3;2;1;3;1;1;1;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0;0;;;;1;1500;;1;1500;;1;1000;;2;;;1;1000;;2;;;;;;;;1500;1000;1000;1500;
