IDENT_MEN;numbd;BNAT_PROD;BDCOD;NAT_PROD_A;NACHA_PROD;BDNEUF_PROD;BDCRED_PROD;BDLIEU_PROD;BDPRIX_PROD;BDPRIX_PRODRECUP;BDPRIX_PROD_D;BDOFFR_PROD;vag
10118;7;DESSERTE;407;;;1;3;3;20;;20;;6
10119;1;Tablette PC;214;;1;1;1;8;75;;75;;1
10119;2;Téléphone portable;215;;1;1;3;8;400;;400;2;1
10119;3;Appareil photo numérique;231;;1;2;1;8;60;;60;;1
10119;4;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;1;4;40;;40;;1
10120;1;lecteur DVD/blue ray, lecteur graveur de CD/DVD de salon, magnétoscope...;203;;1;1;3;3;29;;29;;4
10120;2;Téléphone portable;215;;1;1;3;8;221;;221;3;4
10120;3;GPS;245;;1;1;3;3;149;;149;;4
10123;1;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;4;63;;63;;2
10123;2;Cuiseur, friteuse, autocuiseur;113;;1;1;3;4;30;;30;;2
10123;3;Robot, mixeur, hachoir, balance alimentaire, couteau électrique;116;;1;2;3;10;30;;30;;2
10123;4;Chaîne HI-FI complète, mini-chaîne, éléments de chaine HI-FI;205;;1;2;3;10;50;;50;;2
10123;5;Console de jeux vidéo de salon ou portable;206;;1;1;3;4;390;;390;;2
10123;6;Radio, radio-réveil;207;;3;1;3;3;120;;120;;2
10123;7;Micro-ordinateur portable;212;;1;2;3;9;180;;180;;2
10123;8;Tablette PC;214;;3;1;3;3;250;;250;;2
10123;9;Téléphone portable;215;;1;1;3;4;49;;49;4;2
10123;10;Autoradio;244;;1;1;3;4;49;;49;;2
10123;11;MATELAS;406;;;1;3;7;385;;385;;2
10123;12;SALON DE JARDIN;408;;;1;3;4;90;;90;;2
10126;1;Four à micro-ondes;107;;1;2;3;8;69;;69;;5
10127;1;Lave-linge, lave-linge séchant;103;;1;1;3;7;600;;600;;1
10128;1;Lave-linge, lave-linge séchant;103;;1;1;2;3;350;;350;;6
10128;2;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;200;;200;;6
10128;3;Raclette, fondue, gauffre ou crèpière;114;;1;1;3;7;15;;15;;6
10128;4;Fer à repasser, centrale à vapeur;119;;1;1;3;6;35;;35;;6
10128;5;Téléphone portable;215;;1;2;3;3;80;;80;4;6
10128;6;Appareil photo numérique;231;;1;1;3;3;130;;130;;6
10128;7;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;3;180;;180;;6
10128;8;PLAN DE TRAVAIL;407;;;1;3;7;60;;60;;6
10129;1;Cuiseur, friteuse, autocuiseur;113;;1;1;3;4;20;;20;;3
10129;2;Téléphone portable;215;;1;1;3;8;600;;600;4;3
10130;1;Imprimante ou scanner;217;;1;1;3;8;89;;89;;6
10130;2;FAUTEUIL;403;;;2;3;3;50;;50;;6
10132;1;Téléphone portable;215;;1;1;3;3;180;;180;4;6
10133;1;Cartouche d'imprimante;219;;3;1;3;8;39;;39;;3
10134;1;TABLE ET CHAISES DE CUISINE;401;;;1;3;8;189;;189;;4
10140;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;7;900;;900;;4
10140;2;Téléphone portable;215;;1;1;3;8;900;;900;4;4
